pressure_gpa,pressure_error_gpa,lattice_parameter_a,volume_a3_conventional_cell,lattice_parameter_error_a,volume_error_a3_conventional_cell,loading,pressure_marker
7.20,0.1,3.8440,56.800235584,0.0001,0.004432901,BX18,W
8.23,0.1,3.8368,56.481664172,0.0002,0.008832621,BX18,W
10.31,0.1,3.8259,56.001652608,0.0002,0.008782506,BX18,W
13.66,0.1,3.8078,55.210590051,0.0002,0.008699605,BX18,W
16.58,0.1,3.7931,54.573634425,0.0002,0.008632565,BX18,W
20.20,0.1,3.7771,53.885938265,0.0002,0.008559891,BX18,W
22.37,0.1,3.7677,53.484623808,0.0002,0.008517338,BX18,W
25.09,0.1,3.7570,53.030239093,0.0002,0.008469029,BX18,W
27.09,0.1,3.7494,52.709066550,0.0002,0.008434800,BX18,W
29.85,0.1,3.7395,52.292645405,0.0002,0.008390316,BX18,W
31.57,0.1,3.7324,51.995354348,0.0002,0.008358486,BX18,W
33.83,0.1,3.7253,51.699192193,0.0002,0.008326716,BX18,W
35.88,0.1,3.7174,51.370983904,0.0002,0.008291438,BX18,W
37.19,0.1,3.7121,51.151573923,0.0002,0.008267812,BX18,W
38.65,0.1,3.7078,50.974021799,0.0002,0.008248669,BX18,W
40.06,0.1,3.7025,50.755744391,0.0002,0.008225104,BX18,W
41.70,0.1,3.6981,50.575007064,0.0002,0.008205566,BX18,W
42.81,0.1,3.6944,50.423355920,0.0002,0.008189155,BX18,W
44.23,0.1,3.6893,50.214820614,0.0002,0.008166561,BX18,W
46.06,0.1,3.6837,49.986503828,0.0002,0.008141787,BX18,W
48.22,0.1,3.6767,49.702082430,0.0002,0.008110874,BX18,W
50.73,0.1,3.6691,49.394505887,0.0002,0.008077377,BX18,W
53.21,0.1,3.6619,49.104290565,0.0002,0.008045707,BX18,W
55.64,0.1,3.6551,48.831244192,0.0002,0.008015854,BX18,W
57.97,0.1,3.6490,48.587168449,0.0002,0.007989121,BX18,W
60.32,0.1,3.6430,48.347888707,0.0002,0.007962869,BX18,W
2.99,0.1,3.8720,58.050510848,0.0003,0.013493146,BX32,W
5.87,0.1,3.8464,56.906691641,0.0003,0.013315314,BX32,W
9.95,0.1,3.8308,56.217099714,0.0005,0.022012543,BX32,W
11.62,0.1,3.8235,55.896328628,0.0004,0.017542983,BX32,W
15.35,0.1,3.8022,54.967359187,0.0004,0.017348070,BX32,W
20.24,0.1,3.7800,54.010152000,0.0004,0.017146080,BX32,W
23.64,0.1,3.7636,53.310208315,0.0006,0.025496433,BX32,W
29.31,0.1,3.7400,52.313624000,0.0002,0.008392560,BX32,W
34.68,0.1,3.7205,51.499608390,0.0002,0.008305272,BX32,W
36.01,0.1,3.7172,51.362692912,0.0002,0.008290546,BX32,W
39.42,0.1,3.7049,50.854509629,0.0002,0.008235770,BX32,W
42.49,0.1,3.6942,50.415167209,0.0002,0.008188268,BX32,W
44.57,0.1,3.6883,50.173998877,0.0002,0.008162134,BX32,W
46.73,0.1,3.6813,49.888866020,0.0002,0.008131182,BX32,W
51.50,0.1,3.6675,49.329915047,0.0002,0.008070334,BX32,W
53.35,0.1,3.6632,49.156606228,0.0002,0.008051421,BX32,W
56.72,0.1,3.6548,48.819221399,0.0002,0.008014538,BX32,W
57.94,0.1,3.6511,48.671102501,0.0002,0.007998319,BX32,W
60.91,0.1,3.6441,48.391697714,0.0002,0.007967679,BX32,W
62.74,0.1,3.6411,48.272280895,0.0002,0.007954566,BX32,W
29.10,0.1,3.7378,52.221360134,0.0003,0.012574034,HP,Au
31.80,0.1,3.7318,51.970282921,0.0003,0.012533698,HP,Au
35.10,0.1,3.7213,51.532836623,0.0003,0.012463266,HP,Au
38.28,0.1,3.7083,50.994646251,0.0003,0.012376340,HP,Au
41.65,0.1,3.6978,50.562699713,0.0003,0.012306352,HP,Au
45.62,0.1,3.6884,50.178080055,0.0003,0.012243865,HP,Au
47.66,0.1,3.6800,49.836032000,0.0003,0.012188160,HP,Au
51.77,0.1,3.6691,49.394505887,0.0003,0.012116065,HP,Au
54.78,0.1,3.6614,49.084179044,0.0003,0.012065265,HP,Au
58.72,0.1,3.6517,48.695101400,0.0004,0.016001895,HP,Au
61.65,0.1,3.6433,48.359833995,0.0003,0.011946271,HP,Au
65.89,0.1,3.6324,47.927083420,0.0003,0.011874897,HP,Au
69.22,0.1,3.6246,47.618998615,0.0004,0.015765270,HP,Au
73.61,0.1,3.6144,47.218114474,0.0004,0.015676665,HP,Au
77.00,0.1,3.6064,46.905274630,0.0004,0.015607345,HP,Au
82.24,0.1,3.5957,46.489015612,0.0003,0.011636153,HP,Au
85.98,0.1,3.5880,46.190993472,0.0003,0.011586370,HP,Au
88.58,0.1,3.5834,46.013563474,0.0004,0.015408907,HP,Au
92.15,0.1,3.5767,45.755946563,0.0003,0.011513505,HP,Au
95.27,0.1,3.5704,45.514588594,0.0003,0.011472981,HP,Au
98.85,0.1,3.5641,45.274080880,0.0003,0.011432528,HP,Au
