pressure_gpa,pressure_esd_gpa,lattice_a_angstrom,lattice_a_esd_angstrom,lattice_c_angstrom,lattice_c_esd_angstrom,volume_a3_conventional_cell,volume_esd_a3_conventional_cell
0.0001,,7.8619,0.0002,9.5754,0.0002,512.56,0.03
1.101,0.005,7.8308,0.0003,9.5459,0.0003,506.93,0.03
1.797,0.004,7.8127,0.0002,9.5285,0.0003,503.69,0.03
2.064,0.005,7.8055,0.0003,9.5221,0.0003,502.42,0.04
2.649,0.005,7.7910,0.0003,9.5088,0.0003,499.85,0.04
3.372,0.004,7.7731,0.0003,9.4923,0.0003,496.69,0.03
4.020,0.004,7.7576,0.0003,9.4783,0.0003,493.98,0.04
4.749,0.003,7.7409,0.0003,9.4616,0.0003,491.00,0.04
5.633,0.005,7.7213,0.0003,9.4438,0.0003,487.59,0.04
6.242,0.004,7.7088,0.0003,9.4320,0.0002,485.40,0.03
7.047,0.004,7.6923,0.0003,9.4162,0.0003,482.52,0.04
7.529,0.005,7.6825,0.0003,9.4076,0.0003,480.86,0.04
