sample,pressure_gpa,a_a,a_sigma_a,c_a,c_sigma_a,volume_a3,volume_sigma_a3
1,0.0001,4.8487,0.007,4.328,0.0016,88.12,0.32
1,1.5,4.8152,0.0044,4.296,0.001,86.26,0.2
1,8.0,4.7709,0.0052,4.235,0.0011,83.49,0.23
1,12.0,4.7343,0.0033,4.2095,0.0076,81.71,0.14
1,21.5,4.6565,0.0014,4.1472,0.0032,77.878,0.06
1,24.6,4.6587,0.0077,4.129,0.0017,77.62,0.33
2,0.0001,4.8223,0.002,4.3293,0.0048,87.191,0.097
2,4.0,4.7705,0.004,4.2491,0.0093,83.74,0.18
2,12.0,4.7126,0.0013,4.1935,0.0031,80.658,0.06
2,17.0,4.6565,0.0014,4.1472,0.0032,77.878,0.06
2,22.0,4.6597,0.0032,4.1437,0.0074,77.9,0.13
