pressure_gpa,density_g_cm3,a_angstrom,b_angstrom,c_angstrom,gamma_degree,volume_a3_conventional_cell
0,3.338,4.786,4.328,2.848,93.3,58.895104
10,3.547,4.689,4.230,2.797,92.5,55.424211
20,3.720,4.620,4.157,2.754,92.0,52.859286
25,3.797,4.590,4.126,2.735,91.8,51.770802
30,3.865,4.567,4.100,2.718,91.7,50.871334
40,3.986,4.523,4.062,2.686,91.4,49.333605
50,4.098,4.484,4.027,2.658,91.2,47.985160
60,4.202,4.449,3.996,2.632,91.0,46.785106
70,4.300,4.418,3.968,2.609,90.9,45.731756
80,4.393,4.389,3.943,2.587,90.7,44.766833
90,4.481,4.362,3.919,2.567,90.6,43.879632
100,4.565,4.338,3.897,2.548,90.5,43.072774
