ruby_pressure_classical_gpa,ruby_pressure_revised_gpa,atomic_volume_a3,atomic_volume_uncertainty_a3
2.27,2.27,14.979,0.01
3.43,3.44,14.921,0.01
4.99,5.0,14.830,0.01
6.74,6.76,14.741,0.01
7.84,7.87,14.693,0.01
9.24,9.28,14.625,0.01
10.59,10.6,14.566,0.01
12.04,12.1,14.509,0.01
13.49,13.6,14.442,0.01
16.14,16.3,14.334,0.01
17.39,17.5,14.281,0.01
19.14,19.3,14.215,0.01
20.79,21.0,14.149,0.01
22.39,22.6,14.092,0.01
23.99,24.3,14.035,0.01
26.24,26.6,13.952,0.01
27.89,28.3,13.897,0.01
30.05,30.5,13.822,0.01
1.14,1.14,15.044,0.01
0.0,0.0,15.105,0.01
52.5,53.8,13.146,0.01
58.7,60.3,12.985,0.01
65.5,67.4,12.837,0.01
70.0,72.2,12.721,0.01
78.0,80.7,12.566,0.01
90.0,93.6,12.305,0.01
31.0,31.5,13.776,0.01
36.2,36.8,13.616,0.01
39.5,40.2,13.510,0.01
45.3,46.2,13.342,0.01
50.2,51.4,13.204,0.01
55.3,56.8,13.073,0.01
66.5,68.5,12.809,0.01
74.1,76.6,12.639,0.01
79.9,82.8,12.512,0.01
85.7,89.0,12.408,0.01
