run,temperature_k,gold_a_angstrom,gold_a_angstrom_uncertainty,gold_anderson_pressure_gpa,gold_anderson_pressure_gpa_uncertainty,pressure_gpa,platinum_a_angstrom,platinum_a_angstrom_uncertainty,platinum_holmes_pressure_gpa,platinum_holmes_pressure_gpa_uncertainty,platinum_fei_pressure_gpa,volume_a3,volume_uncertainty_a3,gold_volume_a3,gold_volume_uncertainty_a3
s424056/7,300,4.0502,0.0016,3.7,0.23,3.7,3.9065,0.0009000000000000001,3.58,0.2,3.63,59.61608959962499,0.041204004074999995,66.43996698600802,0.07873977619200001
s424054/5,300,4.0309,0.0007,6.48,0.11,6.45,3.8962,0.0006000000000000001,5.9,0.14,5.97,59.14577489312799,0.027324673992,65.494687223629,0.034121125100999995
s424052/3,300,4.0015,0.0016,11.17,0.28,11.04,3.8757,0.0008,10.85,0.2,10.92,58.217085384093004,0.036050521176,64.072027003375,0.07685761080000002
s424050/1,300,3.9842,0.0015,14.19,0.27,14.0,3.8646,0.0005,13.73,0.13,13.77,57.71831561013599,0.022402699739999997,63.244591735688,0.07143232338
s424048/9,300,3.9713,0.0012000000000000001,16.6,0.23,16.33,3.8541,0.0013000000000000002,16.59,0.36,16.58,57.249135974420994,0.057930938559,62.632260640096995,0.056776405284000006
s424046/7,300,3.9571,0.0006000000000000001,19.39,0.12,19.03,3.8445,0.0011,19.32,0.31,19.24,56.822402971125,0.048774594825,61.962805966411004,0.028185552738
s424042/3,300,3.9471,0.0009000000000000001,21.46,0.18,21.02,3.837,0.0004,21.54,0.12,21.39,56.49049725300001,0.017667082800000004,61.49423288411099,0.042064915707
s376004,1473,4.039,0.0008,13.26,0.11,13.7,3.9022,0.0005,12.68,0.1,13.37,59.41944263864801,0.022840747260000002,65.89031131899999,0.0391524504
s377002,1473,4.0122,0.0009000000000000001,17.1,0.14,17.79,3.8866,0.0008,16.31,0.19,17.06,58.709656445896,0.036253582944,64.587387895848,0.04346392186800001
s381006,1473,3.9988,0.001,19.19,0.15,20.0,3.8743,0.001,19.35,0.25,20.13,58.154019758406996,0.045030601469999994,63.942417278272,0.04797120432000001
s379003,1473,3.9837,0.0005,21.71,0.09,22.62,3.8632,0.0015,22.25,0.4,23.03,57.655610771968,0.06715941408,63.22078394925299,0.023804798535
