pressure_gpa,lattice_parameter_angstrom,volume_angstrom3,pressure_digitization_uncertainty_gpa,lattice_parameter_digitization_uncertainty_angstrom
0.3544,5.389057,156.508610,0.20,0.0026
1.3671,5.381132,155.819194,0.20,0.0026
1.6582,5.377358,155.491614,0.20,0.0026
2.3038,5.373019,155.115464,0.20,0.0026
2.8987,5.366604,154.560529,0.20,0.0026
3.8101,5.357170,153.746854,0.20,0.0026
4.6076,5.350755,153.195190,0.20,0.0026
5.4304,5.343774,152.596350,0.20,0.0026
6.3291,5.338113,152.111952,0.20,0.0026
7.2532,5.328491,151.290829,0.20,0.0026
8.4557,5.319245,150.504696,0.20,0.0026
9.6962,5.311321,149.833039,0.20,0.0026
10.8228,5.301321,148.988328,0.20,0.0026
12.0380,5.292642,148.257761,0.20,0.0026
13.7848,5.280000,147.197952,0.20,0.0026
15.2278,5.271321,146.473254,0.20,0.0026
17.7595,5.252642,144.921655,0.20,0.0026
19.5570,5.240755,143.940001,0.20,0.0026
