pressure_gpa,pressure_sd_gpa,lattice_a_angstrom,lattice_a_sd_angstrom,unit_cell_volume_a3,unit_cell_volume_sd_a3,compression_path
0.0001,0.0001,11.4624,0.0004,1505.987,0.168,compression
1.546,0.006,11.4280,0.0005,1492.479,0.177,compression
2.185,0.007,11.4144,0.0004,1487.159,0.152,compression
2.895,0.007,11.3986,0.0004,1481.014,0.152,compression
3.983,0.008,11.3767,0.0004,1472.478,0.134,compression
5.081,0.009,11.3547,0.0003,1463.947,0.123,compression
6.553,0.009,11.3263,0.0003,1453.008,0.118,compression
7.304,0.010,11.3132,0.0003,1447.958,0.123,compression
8.456,0.012,11.2931,0.0005,1440.248,0.185,compression
8.175,0.011,11.2982,0.0003,1442.211,0.109,decompression
5.829,0.009,11.3408,0.0003,1458.584,0.126,decompression
2.110,0.007,11.4158,0.0003,1487.714,0.119,decompression
