source_row,pressure_gpa,pressure_sigma_gpa,a_a,a_sigma_a,volume_a3,volume_sigma_a3
1,0.0001,,8.446,0.002,602.58,0.49
2,0.4,0.1,8.441,0.002,601.50,0.42
3,0.8,0.1,8.436,0.002,600.33,0.35
4,1.5,0.1,8.426,0.002,598.13,0.40
5,2.2,0.1,8.414,0.002,595.72,0.33
6,3.1,0.1,8.401,0.002,592.94,0.33
7,4.1,0.1,8.389,0.002,590.39,0.39
8,5,0.1,8.375,0.002,587.36,0.37
9,6.1,0.1,8.358,0.002,583.79,0.40
10,7.1,0.1,8.343,0.002,580.75,0.34
11,8.1,0.1,8.325,0.002,576.97,0.34
12,9.3,0.1,8.310,0.002,573.90,0.34
13,10.4,0.1,8.300,0.002,571.72,0.35
14,11.3,0.1,8.284,0.002,568.51,0.42
15,11.7,0.1,8.282,0.002,568.00,0.35
16,12.9,0.1,8.266,0.002,564.76,0.31
17,13.8,0.1,8.256,0.002,562.77,0.33
18,14.9,0.1,8.242,0.002,559.91,0.34
