fluorite_volume_a3,fluorite_volume_sd_a3,pressure_gpa,pressure_sd_gpa,lattice_a_angstrom,lattice_a_sd_angstrom,lattice_c_angstrom,lattice_c_sd_angstrom,unit_cell_volume_a3,unit_cell_volume_sd_a3,axial_ratio_c_over_a,axial_ratio_c_over_a_sd
163.063,0.007,0.0001,,4.91300,0.00011,5.40482,0.00017,112.981,0.002,1.10011,0.00006
162.212,0.013,0.429,0.009,4.89295,0.00029,5.38861,0.00022,111.725,0.014,1.10130,0.00008
161.512,0.013,0.794,0.010,4.87657,0.00012,5.37563,0.00012,110.711,0.006,1.10234,0.00004
159.935,0.009,1.651,0.009,4.84201,0.00015,5.34856,0.00014,108.597,0.007,1.10462,0.00005
159.591,0.009,1.845,0.009,4.83461,0.00039,5.34284,0.00037,108.150,0.019,1.10512,0.00012
159.435,0.010,1.933,0.009,4.83136,0.00017,5.34135,0.00017,107.974,0.008,1.10556,0.00005
158.246,0.018,2.628,0.012,4.80593,0.00016,5.32266,0.00015,106.467,0.008,1.10752,0.00005
157.149,0.008,3.299,0.009,4.78306,0.00018,5.30679,0.00016,105.141,0.009,1.10950,0.00005
156.863,0.018,3.468,0.012,4.77750,0.00027,5.30341,0.00022,104.831,0.012,1.11008,0.00008
156.394,0.016,3.778,0.012,4.76798,0.00022,5.39692,0.00022,104.285,0.010,1.11094,0.00007
156.013,0.012,4.026,0.012,4.75970,0.00027,5.29116,0.00028,103.810,0.013,1.11166,0.00009
155.220,0.011,4.553,0.011,4.74411,0.00016,5.28128,0.00014,102.939,0.007,1.11323,0.00005
154.829,0.017,4.827,0.014,4.73671,0.00025,5.27699,0.00023,102.534,0.012,1.11406,0.00008
154.261,0.010,5.212,0.011,4.72561,0.00021,5.27072,0.00019,101.933,0.010,1.11535,0.00006
153.973,0.010,5.416,0.012,4.71973,0.00017,5.26617,0.00017,101.592,0.008,1.11578,0.00005
153.526,0.008,5.736,0.011,4.71137,0.00025,5.26150,0.00021,101.143,0.011,1.11677,0.00007
152.889,0.014,6.203,0.014,4.69710,0.00032,5.25385,0.00032,100.385,0.015,1.11853,0.00010
152.520,0.014,6.478,0.013,4.69089,0.00033,5.25027,0.00030,100.051,0.015,1.11925,0.00010
152.160,0.011,6.751,0.012,4.68392,0.00018,5.24622,0.00020,99.677,0.009,1.12005,0.00006
151.590,0.016,7.191,0.015,4.67228,0.00027,5.23993,0.00021,99.064,0.012,1.12149,0.00008
150.703,0.009,7.898,0.008,4.65612,0.00030,5.23058,0.00028,98.204,0.014,1.1233,0.0009
150.034,0.013,8.449,0.015,4.64333,0.00015,5.22416,0.00032,97.545,0.016,1.12509,0.00008
149.494,0.010,8.905,0.013,4.63253,0.00038,5.21863,0.00035,96.989,0.017,1.12652,0.00012
