pressure_gpa,pressure_uncertainty_gpa,lattice_parameter_a,lattice_parameter_a_uncertainty
1.11,0.52,3.8799,0.0024
1.37,0.52,3.878,0.0016
1.64,0.53,3.8353,0.0016
2.87,0.55,3.8005,0.0022
3.68,0.57,3.7563,0.0035
4.08,0.57,3.7351,0.0037
4.35,0.57,3.7235,0.0065
4.6,0.58,3.7037,0.0036
4.67,0.58,3.7129,0.002
4.85,0.58,3.7004,0.0036
5.2,0.59,3.6992,0.0053
5.99,0.61,3.6769,0.0025
6.99,0.63,3.6512,0.0028
8.27,0.67,3.6191,0.002
9.5,0.7,3.6001,0.0035
10.9,0.74,3.5753,0.002
13.52,0.83,3.5345,0.002
17.26,0.97,3.4781,0.0092
20.5,1.1,3.4411,0.0034
23.3,1.2,3.415,0.0048
26.5,1.4,3.3829,0.0034
28,1.5,3.3683,0.0034
30.1,1.6,3.3508,0.0034
32.3,1.7,3.3301,0.0033
