compression,temperature_k,pressure_gpa
0.00,300,0
0.00,500,1.31
0.00,1000,4.81
0.00,1500,8.54
0.00,2000,12.42
0.00,2500,16.34
0.00,3000,20.26
0.01,300,3.70
0.01,500,5.02
0.01,1000,8.53
0.01,1500,12.25
0.01,2000,16.09
0.01,2500,19.98
0.01,3000,23.86
0.02,300,7.61
0.02,500,8.94
0.02,1000,12.46
0.02,1500,16.16
0.02,2000,19.97
0.02,2500,23.82
0.02,3000,27.67
0.03,300,11.74
0.03,500,13.07
0.03,1000,16.60
0.03,1500,20.29
0.03,2000,24.07
0.03,2500,27.88
0.03,3000,31.69
0.04,300,16.11
0.04,500,17.45
0.04,1000,20.98
0.04,1500,24.64
0.04,2000,28.39
0.04,2500,32.16
0.04,3000,35.93
0.05,300,20.73
0.05,500,22.07
0.05,1000,25.61
0.05,1500,29.24
0.05,2000,32.96
0.05,2500,36.68
0.05,3000,40.41
0.06,300,25.61
0.06,500,26.95
0.06,1000,30.49
0.06,1500,34.10
0.06,2000,37.78
0.06,2500,41.46
0.06,3000,45.14
0.07,300,30.77
0.07,500,32.11
0.07,1000,35.65
0.07,1500,39.23
0.07,2000,42.87
0.07,2500,46.50
0.07,3000,50.14
0.08,300,36.23
0.08,500,37.57
0.08,1000,41.11
0.08,1500,44.64
0.08,2000,48.24
0.08,2500,51.83
0.08,3000,55.42
0.09,300,42.00
0.09,500,43.35
0.09,1000,46.87
0.09,1500,50.37
0.09,2000,53.93
0.09,2500,57.47
0.09,3000,61.00
0.10,300,48.11
0.10,500,49.46
0.10,1000,52.96
0.10,1500,56.42
0.10,2000,59.93
0.10,2500,63.42
0.10,3000,66.91
0.11,300,54.58
0.11,500,55.92
0.11,1000,59.41
0.11,1500,62.82
0.11,2000,66.28
0.11,2500,69.72
0.11,3000,73.15
0.12,300,61.43
0.12,500,62.76
0.12,1000,66.23
0.12,1500,69.58
0.12,2000,73.00
0.12,2500,76.39
0.12,3000,79.76
0.13,300,68.68
0.13,500,70.00
0.13,1000,73.44
0.13,1500,76.74
0.13,2000,80.11
0.13,2500,83.44
0.13,3000,86.75
0.14,300,76.36
0.14,500,77.68
0.14,1000,81.07
0.14,1500,84.32
0.14,2000,87.63
0.14,2500,90.90
0.14,3000,94.16
0.15,300,84.49
0.15,500,85.80
0.15,1000,89.16
0.15,1500,92.33
0.15,2000,95.59
0.15,2500,98.81
0.15,3000,102.00
0.16,300,93.12
0.16,500,94.41
0.16,1000,97.72
0.16,1500,100.82
0.16,2000,104.02
0.16,2500,107.18
0.16,3000,110.31
0.17,300,102.27
0.17,500,103.54
0.17,1000,106.79
0.17,1500,109.82
0.17,2000,112.96
0.17,2500,116.06
0.17,3000,119.12
0.18,300,111.97
0.18,500,113.23
0.18,1000,116.41
0.18,1500,119.35
0.18,2000,122.43
0.18,2500,125.46
0.18,3000,128.46
0.19,300,122.26
0.19,500,123.50
0.19,1000,126.61
0.19,1500,129.45
0.19,2000,132.47
0.19,2500,135.44
0.19,3000,138.37
0.20,300,133.19
0.20,500,134.40
0.20,1000,137.42
0.20,1500,140.17
0.20,2000,143.12
0.20,2500,146.03
0.20,3000,148.89
