temperature_k,observed_pressure_gpa,observed_volume_a3,observed_volume_sd_a3,calculated_pressure_gpa,pressure_residual_gpa,calculated_volume_a3,volume_residual_a3
300,0.0,526.7,0.3,0.0,0.0,526.7,0.0
300,5.7,511.4,0.2,5.7,0.0,511.4,0.0
300,6.6,509.0,0.4,6.7,0.1,509.2,0.2
300,8.6,504.7,0.2,8.5,-0.1,504.4,-0.3
300,11.1,498.9,0.1,11.1,0.0,498.8,-0.1
300,14.8,491.0,0.0,14.8,0.0,491.0,0.0
300,17.9,485.1,0.2,17.8,-0.1,484.9,-0.2
300,20.8,479.1,0.5,21.0,0.2,479.5,0.4
300,23.1,475.4,0.8,23.1,0.0,475.5,0.1
300,25.1,471.8,1.2,25.2,0.1,472.1,0.3
300,29.4,464.9,0.5,29.6,0.2,465.2,0.3
300,30.8,463.7,0.4,30.3,-0.5,463.1,-0.6
355,30.0,464.6,0.2,,,464.3,-0.3
401,29.2,466.0,0.4,,,465.6,-0.4
450,28.5,467.8,0.3,,,466.8,-1.0
501,26.3,470.2,0.0,,,470.5,0.3
501,27.8,468.5,0.2,,,468.1,-0.4
550,27.2,468.9,0.3,,,469.3,0.4
600,26.0,471.0,0.0,,,471.4,0.4
645,24.2,474.5,0.2,,,474.7,0.2
646,23.9,474.9,0.1,,,475.2,0.3
650,21.0,480.2,0.1,,,480.4,0.2
650,25.6,472.3,0.2,,,472.2,-0.1
700,4.5,517.2,0.0,4.6,0.1,517.5,0.3
700,8.2,508.7,0.0,7.9,-0.3,507.9,-0.8
700,9.7,504.0,0.5,9.8,0.1,504.2,0.2
700,13.0,496.3,0.1,13.2,0.2,496.7,0.4
700,15.4,491.5,0.3,15.5,0.1,491.5,0.0
700,18.5,486.1,0.2,18.2,-0.3,485.4,-0.7
700,20.2,481.5,0.4,20.6,0.4,482.0,0.5
700,22.2,478.6,0.2,22.2,0.0,478.4,-0.2
700,23.1,477.0,0.3,23.0,-0.1,476.8,-0.2
