run,printed_block,pressure_gpa,lattice_a_angstrom,lattice_c_angstrom,axial_ratio,unit_cell_volume_a3
Run1,1,0.0,2.705,4.281,1.583,27.141
Run1,1,0.14,2.705,4.28,1.582,27.111
Run1,1,0.33,2.704,4.28,1.583,27.107
Run1,1,0.63,2.703,4.279,1.583,27.082
Run1,1,1.36,2.701,4.276,1.583,27.022
Run1,1,2.71,2.698,4.269,1.583,27.022
Run1,1,3.4,2.696,4.266,1.583,26.903
Run1,1,4.29,2.693,4.263,1.583,26.853
Run1,1,5.29,2.691,4.259,1.583,26.779
Run1,1,6.27,2.688,4.255,1.583,26.699
Run1,1,7.48,2.685,4.251,1.583,26.626
Run1,1,8.82,2.681,4.246,1.583,26.434
Run1,1,10.4,2.677,4.239,1.584,26.303
Run1,1,11.6,2.674,4.236,1.584,26.225
Run1,1,12.6,2.671,4.232,1.584,26.154
Run1,1,14.1,2.668,4.226,1.584,26.05
Run1,1,15.6,2.664,4.22,1.584,25.937
Run1,1,17.1,2.661,4.216,1.584,25.844
Run1,1,18.9,2.656,4.209,1.585,25.71
Run1,1,20.1,2.654,4.204,1.584,25.639
Run1,1,21.6,2.65,4.2,1.585,25.55
Run1,1,23.3,2.647,4.195,1.585,25.456
Run1,1,24.8,2.643,4.19,1.585,25.351
Run1,1,26.2,2.64,4.185,1.585,25.265
Run1,1,27.6,2.637,4.181,1.585,25.183
Run1,1,29.1,2.634,4.176,1.585,25.099
Run1,1,30.5,2.632,4.172,1.585,25.026
Run1,1,32.2,2.629,4.168,1.585,24.941
Run1,1,33.4,2.626,4.164,1.586,24.866
Run1,1,34.9,2.623,4.16,1.586,24.784
Run1,1,36.2,2.621,4.156,1.586,24.719
Run1,1,37.7,2.618,4.151,1.586,24.642
Run1,1,39.0,2.616,4.148,1.586,24.578
Run1,1,40.4,2.613,4.144,1.586,24.513
Run1,1,41.7,2.611,4.14,1.585,24.448
Run1,1,43.0,2.609,4.137,1.586,24.38
Run1,1,44.6,2.606,4.133,1.586,24.305
Run1,1,45.7,2.604,4.13,1.586,24.253
Run1,1,47.4,2.6,4.124,1.586,24.149
Run1,1,47.9,2.6,4.123,1.586,24.132
Run1,1,48.6,2.599,4.124,1.587,24.115
Run1,1,49.8,2.597,4.121,1.587,24.07
Run1,1,50.7,2.595,4.119,1.587,24.023
Run1,1,51.9,2.594,4.116,1.587,23.978
Run1,1,53.2,2.591,4.113,1.587,23.922
Run1,1,54.2,2.59,4.111,1.588,23.875
Run1,1,55.2,2.588,4.108,1.587,23.827
Run1,1,56.2,2.587,4.106,1.587,23.788
Run1,1,57.1,2.585,4.104,1.588,23.745
Run1,1,58.2,2.583,4.101,1.588,23.695
Run1,1,59.1,2.582,4.098,1.588,23.653
Run1,1,60.2,2.58,4.096,1.588,23.613
Run1,1,60.9,2.578,4.094,1.588,23.565
Run1,1,61.9,2.577,4.091,1.588,23.527
Run1,1,62.1,2.576,4.089,1.588,23.49
Run1,1,63.8,2.574,4.088,1.588,23.459
Run1,1,65.0,2.573,4.085,1.588,23.416
Run1,1,66.6,2.57,4.08,1.588,23.333
Run1,1,68.4,2.568,4.076,1.587,23.27
Run1,1,70.0,2.565,4.074,1.588,23.216
Run1,1,71.5,2.562,4.07,1.588,23.151
Run1,1,73.2,2.56,4.066,1.588,23.083
Run1,1,74.8,2.558,4.063,1.588,23.025
Run1,1,76.4,2.556,4.059,1.588,22.9
Run1,1,77.7,2.554,4.056,1.588,22.915
Run1,2,78.4,2.552,4.052,1.588,22.856
Run1,2,79.7,2.550,4.049,1.588,22.810
Run1,2,81.2,2.549,4.047,1.588,22.768
Run1,2,82.6,2.547,4.043,1.588,22.709
Run1,2,83.9,2.545,4.040,1.588,22.600
Run1,2,85.7,2.543,4.038,1.588,22.619
Run1,2,87.6,2.541,4.035,1.588,22.572
Run1,2,88.0,2.540,4.032,1.588,22.518
Run1,2,89.9,2.537,4.029,1.588,22.463
Run1,2,91.5,2.536,4.027,1.588,22.426
Run1,2,92.3,2.534,4.024,1.588,22.383
Run1,2,93.7,2.533,4.021,1.588,22.336
Run1,2,95.0,2.531,4.019,1.588,22.297
Run1,2,96.1,2.530,4.017,1.588,22.259
Run1,2,97.5,2.528,4.015,1.588,22.223
Run2,2,0.00,2.705,4.283,1.583,27.136
Run2,2,0.20,2.705,4.280,1.582,27.112
Run2,2,18.6,2.657,4.211,1.585,25.756
Run2,2,40.7,2.612,4.145,1.587,24.495
Run2,2,63.8,2.574,4.087,1.588,23.449
Run2,2,75.1,2.557,4.063,1.589,23.005
Run2,2,92.2,2.534,4.029,1.590,22.400
Run2,2,95.1,2.530,4.024,1.590,22.308
Run2,2,96.8,2.528,4.020,1.590,22.251
Run2,2,99.1,2.525,4.016,1.590,22.177
Run2,2,101,2.523,4.012,1.591,22.114
Run2,2,104,2.520,4.008,1.591,22.036
Run2,2,106,2.517,4.005,1.591,21.979
Run2,2,107,2.515,4.001,1.591,21.919
Run2,2,110,2.513,3.997,1.591,21.855
Run2,2,111,2.510,3.994,1.591,21.800
Run2,2,113,2.508,3.991,1.591,21.744
Run2,2,115,2.506,3.988,1.591,21.691
Run2,2,117,2.504,3.984,1.591,21.631
Run2,2,119,2.502,3.982,1.591,21.585
Run2,2,121,2.500,3.979,1.591,21.538
Run2,2,122,2.498,3.976,1.592,21.492
Run2,2,124,2.497,3.973,1.591,21.446
Run2,2,126,2.494,3.970,1.592,21.393
Run2,2,128,2.492,3.967,1.592,21.338
Run2,2,130,2.490,3.964,1.592,21.288
Run2,2,132,2.488,3.960,1.592,21.226
Run2,2,135,2.485,3.956,1.592,21.164
Run2,2,137,2.483,3.953,1.592,21.111
Run2,2,139,2.481,3.950,1.592,21.058
Run2,2,141,2.479,3.948,1.592,21.013
Run2,2,143,2.477,3.944,1.592,20.957
Run2,2,145,2.475,3.942,1.592,20.912
Run2,2,147,2.473,3.939,1.593,20.861
Run2,2,148,2.471,3.936,1.593,20.818
Run2,2,151,2.469,3.933,1.593,20.769
