run,material,source_page,source_row,pressure_p1_gpa,pressure_p1_gpa_error,pressure_p4_gpa,pressure_p4_gpa_error,pressure_p6_gpa,pressure_p6_gpa_error,pressure_p7_gpa,pressure_p7_gpa_error,temperature_k,temperature_k_error,a_angstrom,a_angstrom_error,c_angstrom,c_angstrom_error,volume_a3_conventional_cell,volume_a3_conventional_cell_error,nacl_a_angstrom,nacl_a_angstrom_error,nacl_volume_a3,nacl_volume_a3_error,mgo_a_angstrom,mgo_a_angstrom_error,mgo_volume_a3,mgo_volume_a3_error
FNC02_004a,iron,3,1,24.6,0.1,,,,,,,300.0,,2.437,0.001,3.912,0.003,20.11,0.08,4.945,0.001,120.9,0.1,,,,
FNC02_004b,iron,3,2,24.2,0.1,,,,,,,300.0,,2.437,0.001,3.913,0.003,20.12,0.07,4.951,0.001,121.37,0.1,,,,
FNC02_006q,iron,3,3,28.2,0.1,29.6,0.1,28.3,0.1,,,300.0,,2.422,0.001,3.882,0.003,19.72,0.07,3.0209,0.0002,27.57,0.01,,,,
FNC02_008q,iron,3,4,36.0,0.1,37.7,0.1,36.3,0.1,,,300.0,,2.4025,0.0008,3.853,0.001,19.26,0.04,2.972,0.00030000000000000003,26.25,0.02,,,,
FNC02_010q,iron,3,5,39.2,0.2,41.0,0.2,39.6,0.2,,,300.0,,2.3944,0.0006000000000000001,3.842,0.001,19.08,0.03,2.9544,0.0005,25.79,0.02,,,,
FNC02_012q,iron,3,6,42.1,0.1,44.0,0.2,42.6,0.2,,,300.0,,2.3888,0.0004,3.829,0.0008,18.92,0.02,2.9395,0.0004,25.4,0.02,,,,
FNC02_014q,iron,3,7,44.6,0.6000000000000001,46.5,0.6000000000000001,45.2,0.6000000000000001,,,300.0,,2.3846,0.0008,3.821,0.001,18.82,0.04,2.927,0.001,25.08,0.07,,,,
FNC02_016q,iron,3,8,46.3,0.5,48.4,0.5,47.0,0.5,,,300.0,,2.3806,0.0008,3.814,0.001,18.72,0.04,2.919,0.001,24.87,0.06,,,,
FNC02_020q,iron,3,9,51.7,0.2,54.0,0.2,52.6,0.2,,,300.0,,2.3687,0.00030000000000000003,3.7984,0.0009000000000000001,18.46,0.02,2.8946,0.0005,24.25,0.02,,,,
FNC02_022q,iron,3,10,54.5,0.2,56.9,0.30000000000000004,55.5,0.30000000000000004,,,300.0,,2.3637,0.0004,3.788,0.001,18.33,0.02,2.883,0.0005,23.96,0.02,,,,
FNC02_024q,iron,3,11,57.5,0.30000000000000004,60.0,0.30000000000000004,58.6,0.30000000000000004,,,300.0,,2.358,0.0005,3.78,0.001,18.2,0.03,2.8711,0.0006000000000000001,23.67,0.03,,,,
FNC02_026q,iron,3,12,60.2,0.30000000000000004,62.9,0.30000000000000004,61.5,0.30000000000000004,,,300.0,,2.354,0.001,3.769,0.003,18.09,0.06,2.8607,0.0006000000000000001,23.41,0.03,,,,
FNC02_028q,iron,3,13,63.8,0.30000000000000004,66.8,0.30000000000000004,65.3,0.30000000000000004,,,300.0,,2.3488,0.0007,3.762,0.002,17.97,0.05,2.8472,0.0005,23.08,0.02,,,,
FNC02_030q,iron,3,14,66.8,0.2,69.9,0.2,68.4,0.2,,,300.0,,2.3432,0.0005,3.754,0.001,17.85,0.03,2.8367,0.0004,22.83,0.02,,,,
FNC02_032q,iron,3,15,69.7,0.30000000000000004,73.1,0.30000000000000004,71.6,0.30000000000000004,,,300.0,,2.34,0.001,3.744,0.003,17.75,0.07,2.8266,0.0005,22.58,0.02,,,,
FNC02_034q,iron,3,16,72.8,0.4,76.3,0.4,74.8,0.4,,,300.0,,2.3345,0.0009000000000000001,3.738,0.002,17.64,0.06,2.8167,0.0006000000000000001,22.35,0.03,,,,
FNC02_036q,iron,3,17,76.2,0.4,80.0,0.4,78.5,0.4,,,300.0,,2.3285,0.0008,3.73,0.002,17.51,0.05,2.8057,0.0006000000000000001,22.09,0.03,,,,
FNC03_002q,iron,3,18,109.0,3.1,115.2,3.4,113.7,3.4,,,300.0,,2.2843,0.00030000000000000003,3.6552,0.0008,16.52,0.02,2.719,0.003,20.11,0.16,,,,
FNC03_004q,iron,3,19,151.6,4.9,161.4,5.3,160.4,5.4,,,300.0,,2.2443,0.0006000000000000001,3.594,0.002,15.67,0.04,2.637,0.004,18.34,0.17,,,,
FNC03_006q,iron,3,20,173.2,8.6,184.8,9.3,184.5,9.5,,,300.0,,2.2248,0.0007,3.558,0.002,15.25,0.05,2.603,0.006,17.64,0.26,,,,
FNC03_008q,iron,3,21,195.9,8.2,209.3,8.9,209.8,9.2,,,300.0,,2.2069,0.0008,3.528,0.003,14.88,0.06,2.572,0.005,17.02,0.22,,,,
FNC03_010q,iron,3,22,214.0,8.0,228.9,8.6,230.3,9.0,,,300.0,,2.196,0.001,3.505,0.004,14.64,0.08,2.55,0.004,16.57,0.19,,,,
FNC03_012q,iron,3,23,227.2,8.5,243.2,9.1,245.3,9.6,,,300.0,,2.184,0.001,3.491,0.003,14.42,0.07,2.534,0.004,16.28,0.19,,,,
FNC03_014q,iron,3,24,238.7,10.8,255.5,11.6,258.3,12.2,,,300.0,,2.175,0.001,3.479,0.003,14.26,0.07,2.522,0.005,16.03,0.23,,,,
FNC03_016q,iron,3,25,254.2,8.4,272.2,9.0,276.0,9.6,,,300.0,,2.166,0.001,3.46,0.003,14.05,0.07,2.506,0.004,15.73,0.16,,,,
FNC03_018q,iron,3,26,266.4,10.9,285.3,11.7,290.0,12.5,,,300.0,,2.157,0.001,3.449,0.004,13.89,0.08,2.494,0.005,15.5,0.2,,,,
FNC03_020q,iron,3,27,279.2,11.3,299.0,12.1,304.7,13.0,,,300.0,,2.1491,0.0004,3.44,0.001,13.76,0.01,2.481,0.005,15.28,0.2,,,,
F10N06_012,fe09ni01_hcp,3,28,27.1,0.1,,,,,,,300.0,,2.4295,0.0006000000000000001,3.917,0.002,20.02,0.04,4.907,0.001,118.12,0.1,,,,
F10N06_014,fe09ni01_hcp,3,29,28.2,0.1,,,,,,,300.0,,2.424,0.001,3.905,0.002,19.88,0.07,4.889,0.002,116.85,0.17,,,,
F10N06_020,fe09ni01_hcp,3,30,32.3,0.1,,,,,,,300.0,,2.409,0.001,3.882,0.001,19.51,0.05,4.8228,0.0008,112.17,0.07,,,,
F10N06_022,fe09ni01_hcp,3,31,34.7,0.1,36.3,0.1,35.0,0.1,,,300.0,,2.405,0.0005,3.873,0.001,19.4,0.03,2.9795,0.0002,26.45,0.01,,,,
F10N06_024,fe09ni01_hcp,3,32,37.4,0.1,39.1,0.1,37.7,0.1,,,300.0,,2.3998,0.0008,3.86,0.002,19.25,0.05,2.9644,0.0004,26.05,0.02,,,,
F10N06_026,fe09ni01_hcp,3,33,39.6,0.2,41.3,0.2,40.0,0.2,,,300.0,,2.3969,0.0009000000000000001,3.855,0.002,19.18,0.06,2.9526,0.0004,25.74,0.02,,,,
F10N06_028,fe09ni01_hcp,3,34,42.2,0.30000000000000004,44.0,0.30000000000000004,42.7,0.30000000000000004,,,300.0,,2.3911,0.0009000000000000001,3.842,0.002,19.02,0.06,2.9391,0.0007,25.39,0.04,,,,
F10N06_030,fe09ni01_hcp,3,35,44.8,0.30000000000000004,46.7,0.30000000000000004,45.4,0.30000000000000004,,,300.0,,2.388,0.001,3.833,0.003,18.92,0.09,2.9263,0.0006000000000000001,25.06,0.03,,,,
F10N06_032,fe09ni01_hcp,3,36,46.8,0.2,48.8,0.2,47.5,0.2,,,300.0,,2.385,0.002,3.822,0.003,18.83,0.09,2.9168,0.0005,24.81,0.03,,,,
F10N06_034,fe09ni01_hcp,3,37,49.0,0.4,51.2,0.4,49.8,0.4,,,300.0,,2.381,0.002,3.816,0.004,18.73,0.11,2.9066,0.0009000000000000001,24.56,0.05,,,,
F10N06_036,fe09ni01_hcp,3,38,52.2,0.4,54.6,0.4,53.2,0.4,,,300.0,,2.37,0.001,3.806,0.002,18.51,0.06,2.8925,0.0009000000000000001,24.2,0.05,,,,
F10N04_008q,fe09ni01_hcp,3,39,53.7,0.4,56.0,0.4,54.6,0.4,,,300.0,,2.3633,0.0001,3.8011,0.00030000000000000003,18.39,0.01,2.8865,0.0009000000000000001,24.05,0.04,,,,
F10N06_038,fe09ni01_hcp,3,40,56.4,0.5,58.9,0.6000000000000001,57.5,0.6000000000000001,,,300.0,,2.366,0.003,3.792,0.004,18.38,0.13,2.875,0.001,23.77,0.05,,,,
F10N09_001b,fe09ni01_hcp,3,41,70.8,1.9,74.3,2.1,72.8,2.1,71.7,1.3,300.0,,2.342,0.001,3.741,0.005,17.77,0.1,2.823,0.003,22.49,0.15,3.865,0.003,57.71,0.17
F10N09_001,fe09ni01_hcp,3,42,71.4,1.5,74.9,1.6,73.4,1.5,71.5,1.8,300.0,,2.342,0.001,3.739,0.003,17.76,0.08,2.821,0.002,22.45,0.12,3.865,0.004,57.73,0.24
F10N09_002q,fe09ni01_hcp,3,43,87.8,0.8,92.4,0.9,90.9,0.9,92.1,0.5,300.0,,2.3116,0.00030000000000000003,3.715,0.001,17.19,0.02,2.772,0.001,21.3,0.05,3.8083,0.0009000000000000001,55.23,0.06
F10N04_010q,fe09ni01_hcp,3,44,89.9,1.4,94.7,1.5,93.1,1.5,,,300.0,,2.316,0.002,3.707,0.006,17.23,0.13,2.766,0.002,21.17,0.08,,,,
F10N09_002,fe09ni01_hcp,3,45,,,,,,,92.7,4.0,1800.0,160,2.3175,0.0001,3.734,0.00030000000000000003,17.37,0.01,2.777,0.001,21.42,0.07,3.82,0.001,55.75,0.06
F10N09_003,fe09ni01_hcp,3,46,,,,,,,94.2,3.8,1820.0,90,2.3212,0.0004,3.741,0.001,17.46,0.03,2.774,0.001,21.35,0.06,3.8174,0.0005,55.63,0.03
F10N09_005,fe09ni01_hcp,3,47,,,,,,,96.9,3.8,2130.0,50,2.3223,0.0005,3.743,0.003,17.48,0.06,2.777,0.001,21.41,0.05,3.8163,0.00030000000000000003,55.58,0.02
F10N09_004,fe09ni01_hcp,3,48,,,,,,,97.1,3.7,2240.0,100,2.3244,0.0002,3.753,0.001,17.56,0.02,2.774,0.001,21.36,0.06,3.8184,0.0004,55.67,0.02
F10N09_011,fe09ni01_hcp,3,49,97.4,0.5,102.7,0.5,101.1,0.5,104.3,0.2,300.0,,2.2986,0.00030000000000000003,3.691,0.002,16.89,0.04,2.7469,0.0006000000000000001,20.73,0.03,3.7789,0.00030000000000000003,53.96,0.02
F10N09_010,fe09ni01_hcp,3,50,97.5,0.4,102.8,0.5,101.3,0.5,103.7,0.1,300.0,,2.2991,0.0004,3.695,0.002,16.92,0.05,2.7467,0.0005,20.72,0.02,3.7803,0.0002,54.02,0.01
F10N09_006,fe09ni01_hcp,3,51,,,,,,,100.7,3.8,2280.0,80,2.3178,0.0005,3.754,0.002,17.46,0.04,2.7679,0.0005,21.21,0.02,3.8091,0.0002,55.27,0.01
F10N09_007,fe09ni01_hcp,3,52,,,,,,,103.2,4.0,2220.0,100,2.3132,0.0002,3.7382,0.0009000000000000001,17.32,0.02,2.7607,0.00030000000000000003,21.04,0.02,3.8006,0.0005,54.9,0.03
F10N09_009,fe09ni01_hcp,3,53,,,,,,,103.7,4.2,1690.0,50,2.305,0.00030000000000000003,3.72,0.002,17.11,0.04,2.7515,0.0006000000000000001,20.83,0.03,3.7884,0.0004,54.37,0.03
F10N09_008,fe09ni01_hcp,3,54,,,,,,,105.6,4.1,2170.0,80,2.3087,0.00030000000000000003,3.717,0.002,17.16,0.04,2.7533,0.0007,20.87,0.03,3.7924,0.0002,54.54,0.01
F10N09_012,fe09ni01_hcp,3,55,,,,,,,106.4,4.4,1620.0,50,2.2993,0.0007,3.696,0.004,16.92,0.08,2.741,0.001,20.58,0.05,3.7793,0.0004,53.98,0.03
F10N09_018,fe09ni01_hcp,3,56,109.2,0.4,115.5,0.4,114.0,0.4,116.4,0.5,300.0,,2.2866,0.0005,3.663,0.001,16.59,0.03,2.7188,0.0004,20.1,0.02,3.752,0.0007,52.82,0.05
F10N09_019,fe09ni01_hcp,3,57,109.6,0.30000000000000004,115.9,0.30000000000000004,114.3,0.30000000000000004,117.1,0.4,300.0,,2.2856,0.0008,3.664,0.002,16.57,0.05,2.7181,0.00030000000000000003,20.08,0.02,3.7506,0.0005,52.76,0.03
F10N09_013,fe09ni01_hcp,3,58,,,,,,,109.6,4.3,2180.0,100,2.302,0.0002,3.706,0.001,17.01,0.02,2.7411,0.0009000000000000001,20.6,0.04,3.7817,0.0005,54.08,0.03
F10N09_014,fe09ni01_hcp,3,59,,,,,,,111.1,4.4,2160.0,90,2.3017,0.00030000000000000003,3.701,0.001,16.98,0.03,2.7387,0.0007,20.54,0.03,3.7775,0.0005,53.91,0.04
F10N09_015,fe09ni01_hcp,3,60,,,,,,,113.8,4.5,2200.0,140,2.2972,0.0002,3.7024,0.0007,16.92,0.02,2.7332,0.0006000000000000001,20.42,0.03,3.7717,0.0005,53.66,0.04
F10N09_017,fe09ni01_hcp,3,61,,,,,,,114.8,4.6,1750.0,50,2.2904,0.0004,3.685,0.001,16.74,0.03,2.7237,0.0009000000000000001,20.21,0.04,3.7608,0.0008,53.19,0.05
F10N09_016,fe09ni01_hcp,3,62,,,,,,,115.0,4.5,1990.0,80,2.293,0.0005,3.695,0.002,16.83,0.04,2.7264,0.0006000000000000001,20.27,0.03,3.7648,0.0005,53.36,0.04
F10N09_020,fe09ni01_hcp,3,63,,,,,,,117.1,4.8,1510.0,40,2.2843,0.0009000000000000001,3.673,0.002,16.6,0.06,2.7153,0.0005,20.02,0.03,3.7512,0.0009000000000000001,52.78,0.06
F10N09_021,fe09ni01_hcp,3,64,,,,,,,117.7,4.7,1720.0,50,2.2868,0.0004,3.678,0.001,16.66,0.03,2.717,0.00030000000000000003,20.06,0.01,3.7534,0.0007,52.88,0.04
F10N09_043,fe09ni01_hcp,3,65,118.0,0.9,124.9,1.0,123.5,1.0,127.0,0.8,300.0,,2.274,0.0006000000000000001,3.652,0.002,16.35,0.04,2.6998,0.0009000000000000001,19.68,0.04,3.73,0.001,51.9,0.07
F10N09_022,fe09ni01_hcp,3,66,,,,,,,119.3,4.7,2040.0,60,2.2873,0.0005,3.686,0.001,16.7,0.03,2.7155,0.0008,20.02,0.04,3.7551,0.0008,52.95,0.05
F10N04_012q,fe09ni01_hcp,3,67,120.6,2.2,127.8,2.4,126.3,2.4,,,300.0,,2.277,0.001,3.623,0.005,16.27,0.11,2.694,0.002,19.56,0.1,,,,
F10N09_028,fe09ni01_hcp,3,68,120.7,1.3,127.9,1.4,126.5,1.4,129.0,0.9,300.0,,2.2699,0.0004,3.6421,0.0009000000000000001,16.25,0.02,2.694,0.001,19.55,0.06,3.726,0.001,51.73,0.07
F10N09_023,fe09ni01_hcp,3,69,,,,,,,120.8,4.8,2050.0,70,2.2855,0.00030000000000000003,3.6819,0.0009000000000000001,16.66,0.02,2.7116,0.0008,19.94,0.04,3.752,0.001,52.81,0.06
F10N09_027,fe09ni01_hcp,4,70,121.2,0.7000000000000001,128.5,0.8,127.0,0.8,128.6,1.0,300.0,,2.2709,0.0004,3.643,0.001,16.27,0.02,2.6931,0.0007,19.53,0.03,3.727,0.001,51.77,0.08
F10N09_024,fe09ni01_hcp,4,71,,,,,,,123.5,4.9,2020.0,80,2.2818,0.0004,3.677,0.001,16.58,0.02,2.7071,0.0007,19.84,0.03,3.7451,0.0009000000000000001,52.53,0.06
F10N09_026,fe09ni01_hcp,4,72,,,,,,,125.7,5.1,1710.0,50,2.276,0.0006000000000000001,3.665,0.001,16.44,0.03,2.6984,0.0009000000000000001,19.65,0.04,3.7349,0.0009000000000000001,52.1,0.06
F10N09_025,fe09ni01_hcp,4,73,,,,,,,127.2,5.0,2020.0,80,2.2797,0.00030000000000000003,3.6726,0.0008,16.53,0.02,2.7,0.001,19.69,0.05,3.737,0.001,52.18,0.07
F10N09_029,fe09ni01_hcp,4,74,,,,,,,128.4,5.2,1720.0,30,2.2713,0.0005,3.658,0.001,16.34,0.03,2.6921,0.0008,19.51,0.04,3.729,0.001,51.85,0.08
F10N09_030,fe09ni01_hcp,4,75,,,,,,,129.6,5.2,2070.0,80,2.273,0.0002,3.6597,0.0005,16.37,0.01,2.6914,0.0008,19.5,0.04,3.732,0.001,51.97,0.06
F10N09_031,fe09ni01_hcp,4,76,,,,,,,130.4,5.2,1990.0,60,2.2724,0.00030000000000000003,3.66,0.001,16.37,0.02,2.69,0.0005,19.47,0.02,3.729,0.001,51.84,0.08
F10N09_035,fe09ni01_hcp,4,77,130.8,0.8,138.8,0.8,137.5,0.8,139.2,1.3,300.0,,2.2582,0.0002,3.626,0.0004,16.01,0.01,2.6742,0.0007,19.12,0.03,3.707,0.002,50.92,0.1
F10N04_014q,fe09ni01_hcp,4,78,131.1,5.6,139.2,6.1,137.9,6.1,,,300.0,,2.258,0.002,3.615,0.006,15.96,0.14,2.674,0.005,19.11,0.23,,,,
F10N09_036,fe09ni01_hcp,4,79,131.7,0.4,139.8,0.4,138.5,0.4,139.9,1.2,300.0,,2.2581,0.0007,3.621,0.002,15.99,0.04,2.6725,0.00030000000000000003,19.09,0.02,3.705,0.001,50.87,0.1
F10N09_032,fe09ni01_hcp,4,80,,,,,,,133.2,5.3,2020.0,40,2.2698,0.00030000000000000003,3.6579,0.0009000000000000001,16.32,0.02,2.6849,0.0008,19.35,0.04,3.723,0.002,51.62,0.1
F10N09_034,fe09ni01_hcp,4,81,,,,,,,135.4,5.4,1660.0,100,2.2641,0.0002,3.6422,0.0006000000000000001,16.17,0.01,2.6776,0.0004,19.2,0.02,3.7132,0.0006000000000000001,51.2,0.04
F10N09_033,fe09ni01_hcp,4,82,,,,,,,136.5,5.4,2110.0,110,2.2667,0.00030000000000000003,3.651,0.001,16.24,0.02,2.6796,0.0006000000000000001,19.24,0.03,3.718,0.001,51.38,0.08
F10N09_037,fe09ni01_hcp,4,83,,,,,,,142.0,5.6,2120.0,90,2.262,0.0004,3.645,0.001,16.15,0.03,2.6698,0.0005,19.03,0.02,3.707,0.001,50.93,0.09
F10N09_042,fe09ni01_hcp,4,84,142.2,0.8,151.2,0.9,150.0,0.9,150.7,1.3,300.0,,2.2479,0.00030000000000000003,3.6106,0.0009000000000000001,15.8,0.02,2.6533,0.0007,18.68,0.03,3.686,0.002,50.07,0.1
F10N09_038,fe09ni01_hcp,4,85,,,,,,,142.5,5.7,2110.0,70,2.2599,0.0008,3.642,0.002,16.11,0.06,2.6679,0.0006000000000000001,18.99,0.03,3.705,0.002,50.87,0.1
F10N09_039,fe09ni01_hcp,4,86,,,,,,,145.4,5.8,2180.0,90,2.2565,0.00030000000000000003,3.637,0.0007,16.04,0.02,2.6646,0.0009000000000000001,18.92,0.04,3.7,0.002,50.67,0.11
F10N09_041,fe09ni01_hcp,4,87,,,,,,,146.7,6.0,1750.0,60,2.2517,0.0005,3.624,0.002,15.91,0.04,2.6577,0.0005,18.77,0.03,3.692,0.002,50.31,0.1
F10N09_040,fe09ni01_hcp,4,88,,,,,,,148.9,6.0,2300.0,150,2.2522,0.0006000000000000001,3.634,0.002,15.96,0.04,2.6598,0.0005,18.82,0.02,3.695,0.002,50.45,0.11
F10N04_016q,fe09ni01_hcp,4,89,149.4,0.5,159.1,0.5,158.1,0.5,,,300.0,,2.244,0.001,3.573,0.005,15.58,0.11,2.6407,0.0004,18.42,0.02,,,,
F10N04_018q,fe09ni01_hcp,4,90,151.9,4.0,161.7,4.3,160.8,4.4,,,300.0,,2.24,0.001,3.561,0.005,15.47,0.11,2.637,0.003,18.33,0.14,,,,
F10N08_002q,fe09ni01_hcp,4,91,161.1,2.7,171.7,2.9,171.0,3.0,,,300.0,,2.2243,0.0001,3.574,0.00030000000000000003,15.31,0.01,2.622,0.002,18.02,0.09,,,,
F10N04_020q,fe09ni01_hcp,4,92,171.1,4.8,182.6,5.2,182.2,5.4,,,300.0,,2.223,0.001,3.538,0.006,15.15,0.12,2.606,0.003,17.71,0.15,,,,
F10N04_022q,fe09ni01_hcp,4,93,187.7,3.9,200.5,4.2,200.6,4.4,,,300.0,,2.207,0.001,3.52,0.006,14.85,0.13,2.583,0.002,17.24,0.11,,,,
F10N04_024q,fe09ni01_hcp,4,94,201.0,4.9,214.9,5.3,215.6,5.5,,,300.0,,2.196,0.001,3.495,0.005,14.6,0.11,2.566,0.003,16.89,0.12,,,,
F10N04_026q,fe09ni01_hcp,4,95,212.1,6.7,226.8,7.2,228.1,7.5,,,300.0,,2.188,0.001,3.482,0.005,14.44,0.1,2.552,0.004,16.62,0.16,,,,
F10N08_004q,fe09ni01_hcp,4,96,213.7,0.8,228.5,0.9,229.9,0.9,,,300.0,,2.1838,0.00030000000000000003,3.5046,0.0008,14.47,0.02,2.55,0.0004,16.58,0.02,,,,
F10N04_028q,fe09ni01_hcp,4,97,229.5,1.0,245.6,1.1,247.8,1.1,,,300.0,,2.1775,0.0009000000000000001,3.457,0.004,14.2,0.08,2.5318,0.0005,16.23,0.02,,,,
F10N04_030q,fe09ni01_hcp,4,98,234.6,5.3,251.1,5.8,253.6,6.1,,,300.0,,2.173,0.001,3.452,0.004,14.11,0.09,2.526,0.003,16.12,0.11,,,,
F10N08_006q,fe09ni01_hcp,4,99,246.1,2.9,263.4,3.1,266.7,3.3,,,300.0,,2.1628,0.00030000000000000003,3.4663,0.0009000000000000001,14.04,0.02,2.514,0.001,15.89,0.06,,,,
F10N04_032q,fe09ni01_hcp,4,100,246.6,6.3,264.0,6.8,267.3,7.2,,,300.0,,2.166,0.001,3.445,0.004,13.99,0.09,2.513,0.003,15.88,0.13,,,,
F10N04_036q,fe09ni01_hcp,4,101,253.1,6.2,271.0,6.7,274.8,7.1,,,300.0,,2.16,0.001,3.44,0.004,13.9,0.09,2.507,0.003,15.75,0.12,,,,
F10N08_008q,fe09ni01_hcp,4,102,255.5,3.9,273.6,4.1,277.5,4.4,,,300.0,,2.1552,0.0004,3.458,0.001,13.91,0.03,2.504,0.002,15.7,0.07,,,,
F10N08_010q,fe09ni01_hcp,4,103,265.9,7.3,284.7,7.9,289.4,8.4,,,300.0,,2.1487,0.0004,3.446,0.001,13.78,0.03,2.494,0.003,15.51,0.13,,,,
F10N08_012q,fe09ni01_hcp,4,104,271.5,14.0,290.7,15.0,295.8,16.0,,,300.0,,2.1441,0.0005,3.439,0.002,13.69,0.04,2.489,0.006,15.41,0.25,,,,
