pressure_gpa,pressure_uncertainty_gpa,temperature_k,temperature_uncertainty_k,volume_angstrom3,volume_uncertainty_angstrom3
124.1,3.6,300,,71.5,0.8
129.5,3.8,300,,71.1,1.2
135.4,3.2,300,,70.7,0.9
114.1,3.4,300,,72.4,1.0
111.8,2.8,300,,72.7,0.8
116.7,2.2,300,,72.2,1.2
123.0,3.6,2400,250,73.0,0.9
123.1,3.0,2300,250,73.0,0.7
123.2,4.2,2500,250,73.1,0.5
127.4,4.4,2250,250,72.5,0.7
130.4,3.2,2200,250,72.0,0.7
140.5,4.2,2200,250,71.1,0.5
135.6,3.8,2260,250,71.6,0.7
128.0,2.6,1950,200,72.2,1.0
138.8,4.0,2000,200,70.9,0.8
126.2,3.4,1320,200,71.8,1.2
126.2,2.8,1800,200,72.0,0.9
139.8,2.8,1660,200,70.7,0.7
134.7,3.8,3030,250,72.2,1.2
135.9,3.8,2700,250,71.9,1.1
