experiment,run_number,phase,measurement_sequence,unit_cell_volume_a3,unit_cell_volume_standard_error_a3
DAC-1,1,Pt,first,59.54115,0.01721
DAC-1,1,Ta,,35.50047,0.01492
DAC-1,1,Cu,,45.94823,0.01721
DAC-1,1,Au,,66.28583,0.01231
DAC-1,1,Mo,,30.69119,0.01307
DAC-1,1,bcc-Fe,,22.99666,0.02402
DAC-1,1,Pt,last,59.54206,0.01810
DAC-1,2,Pt,first,59.50067,0.02612
DAC-1,2,Ta,,35.47474,0.01633
DAC-1,2,Cu,,45.90771,0.00817
DAC-1,2,Au,,66.22646,0.01202
DAC-1,2,Mo,,30.70032,0.02221
DAC-1,2,bcc-Fe,,22.97792,0.01940
DAC-1,2,Pt,last,59.49940,0.03493
DAC-1,3,Pt,first,59.44670,0.03073
DAC-1,3,Ta,,35.43069,0.01902
DAC-1,3,Cu,,45.83465,0.01116
DAC-1,3,Au,,66.13774,0.01720
DAC-1,3,Mo,,30.66130,0.02035
DAC-1,3,bcc-Fe,,22.94772,0.01945
DAC-1,3,Pt,last,59.44631,0.04132
DAC-1,4,Pt,first,59.40586,0.03066
DAC-1,4,Ta,,35.38785,0.02050
DAC-1,4,Cu,,45.75820,0.01211
DAC-1,4,Au,,66.04360,0.02030
DAC-1,4,Mo,,30.63377,0.04309
DAC-1,4,bcc-Fe,,22.91759,0.01948
DAC-1,4,Pt,last,59.38995,0.02533
DAC-1,5,Pt,first,59.31528,0.01944
DAC-1,5,Ta,,35.33611,0.02508
DAC-1,5,Cu,,45.67398,0.01903
DAC-1,5,Au,,65.92731,0.02869
DAC-1,5,Mo,,30.60738,0.03306
DAC-1,5,bcc-Fe,,22.87456,0.01595
DAC-1,5,Pt,last,59.30616,0.02143
DAC-1,6,Pt,first,59.18066,0.05890
DAC-1,6,Ta,,35.20897,0.02473
DAC-1,6,Cu,,45.46154,0.02699
DAC-1,6,Au,,65.67427,0.04138
DAC-1,6,bcc-Fe,,22.78255,0.01327
DAC-1,6,Pt,last,59.16529,0.05524
DAC-1,7,Pt,first,59.08282,0.04588
DAC-1,7,Ta,,35.12303,0.02635
DAC-1,7,Cu,,45.32874,0.03579
DAC-1,7,Au,,65.51452,0.05212
DAC-1,7,bcc-Fe,,22.72546,0.01176
DAC-1,7,Pt,last,59.07486,0.03642
DAC-1,8,Pt,first,58.99462,0.05189
DAC-1,8,Ta,,35.02857,0.02380
DAC-1,8,Cu,,45.18850,0.04485
DAC-1,8,Au,,65.35319,0.04509
DAC-1,8,bcc-Fe,,22.66572,0.01229
DAC-1,8,Pt,last,58.99395,0.05161
DAC-1,9,Pt,first,58.85698,0.05628
DAC-1,9,Ta,,34.93040,0.02149
DAC-1,9,Cu,,45.03215,0.05753
DAC-1,9,Au,,65.16857,0.05290
DAC-1,9,bcc-Fe,,22.59890,0.01519
DAC-1,9,Pt,last,58.85126,0.06136
DAC-1,10,Pt,first,58.75970,0.02935
DAC-1,10,Ta,,34.84119,0.02560
DAC-1,10,Cu,,44.89143,0.06745
DAC-1,10,Au,,64.99487,0.06538
DAC-1,10,bcc-Fe,,22.53406,0.01424
DAC-1,10,Pt,last,58.73885,0.03326
DAC-1,11,Pt,first,58.62904,0.04855
DAC-1,11,Ta,,34.73187,0.02047
DAC-1,11,Cu,,44.72807,0.06737
DAC-1,11,Au,,64.79641,0.08592
DAC-1,11,bcc-Fe,,22.46548,0.01516
DAC-1,11,Pt,last,58.62283,0.03681
DAC-1,12,Pt,first,58.36029,0.01240
DAC-1,12,Ta,,34.50876,0.01391
DAC-1,12,Cu,,44.34256,0.07205
DAC-1,12,Au,,64.35797,0.01875
DAC-1,12,Mo,,30.07866,0.03007
DAC-1,12,bcc-Fe,,22.27832,0.02550
DAC-1,12,Pt,last,58.35117,0.01243
DAC-1,13,Pt,first,58.29909,0.01397
DAC-1,13,Ta,,34.45365,0.01136
DAC-1,13,Cu,,44.24952,0.07299
DAC-1,13,Au,,64.25473,0.01809
DAC-1,13,Mo,,30.03700,0.03477
DAC-1,13,bcc-Fe,,22.23682,0.02504
DAC-1,13,Pt,last,58.29157,0.01149
DAC-1,14,Pt,first,58.22635,0.00770
DAC-1,14,Ta,,34.39632,0.01342
DAC-1,14,Cu,,44.15399,0.07956
DAC-1,14,Au,,64.13442,0.02146
DAC-1,14,Mo,,29.98333,0.02971
DAC-1,14,bcc-Fe,,22.19563,0.02202
DAC-1,14,Pt,last,58.20169,0.01237
DAC-1,15,Pt,first,58.10823,0.04118
DAC-1,15,Ta,,34.30845,0.01561
DAC-1,15,Cu,,44.01735,0.07636
DAC-1,15,Au,,63.96717,0.02366
DAC-1,15,Mo,,29.91571,0.02920
