row,run,source_pdf_page,temperature_k,gold_volume_a3,pressure_gpa,a_a,a_sigma_a,c_a,c_sigma_a,volume_a3,volume_sigma_a3
1,1,14,300,67.84,0.0,4.6934,0.0002,15.3844,0.0017,293.49,0.03
2,1,14,300,60.27,27.93,4.5421,0.0002,13.819,0.0020,246.9,0.03
3,1,14,673,60.69,28.14,4.5477,0.0002,13.8764,0.0020,248.54,0.03
4,1,14,873,61.03,27.76,4.5521,0.0002,13.9301,0.0020,249.98,0.03
5,1,14,1073,61.51,26.82,4.5645,0.0002,13.9993,0.0020,252.59,0.03
6,1,14,1273,61.79,26.87,4.5652,0.0002,14.0312,0.0020,253.25,0.03
7,1,14,1473,62.25,26.16,4.568,0.0002,14.1273,0.0021,255.29,0.03
8,1,14,1673,62.58,26.12,4.5691,0.0002,14.1489,0.0021,255.81,0.03
9,1,14,1473,62.2,26.37,4.5655,0.0002,14.1117,0.0021,254.73,0.03
10,1,14,1273,61.96,26.1,4.5622,0.0002,14.1125,0.0021,254.38,0.03
11,1,14,1073,61.76,25.68,4.5613,0.0002,14.0992,0.0021,254.04,0.03
12,1,14,873,61.54,25.38,4.5607,0.0002,14.0884,0.0021,253.78,0.03
13,1,14,673,61.42,24.63,4.5599,0.0002,14.0862,0.0021,253.65,0.03
14,1,14,473,61.32,23.79,4.5591,0.0002,14.0801,0.0021,253.45,0.03
15,1,14,300,61.26,22.97,4.5595,0.0002,14.077,0.0021,253.44,0.03
16,1,14,300,61.76,20.67,4.5755,0.0002,14.1378,0.0021,256.32,0.03
17,1,14,300,61.78,20.59,4.5759,0.0002,14.1449,0.0018,256.5,0.02
18,1,14,873,61.96,23.47,4.5747,0.0002,14.1434,0.0021,256.34,0.03
19,1,14,1073,62.14,24.0,4.5725,0.0002,14.1566,0.0021,256.33,0.03
20,1,14,1273,62.38,24.29,4.5736,0.0002,14.1772,0.0021,256.83,0.03
21,1,14,1473,62.71,24.28,4.5763,0.0002,14.2189,0.0021,257.88,0.03
22,1,14,1673,63.06,24.21,4.5786,0.0002,14.2557,0.0021,258.81,0.03
23,1,14,1473,62.66,24.46,4.5773,0.0002,14.213,0.0021,257.89,0.03
24,1,14,1273,62.47,23.93,4.5769,0.0002,14.1885,0.0021,257.4,0.03
25,1,14,1073,62.21,23.7,4.5758,0.0002,14.1623,0.0021,256.8,0.03
26,1,14,873,62.07,23.02,4.5747,0.0002,14.1675,0.0021,256.77,0.03
27,1,14,673,61.93,22.3,4.5746,0.0002,14.1751,0.0021,256.9,0.03
28,1,14,473,61.83,21.45,4.5753,0.0002,14.1717,0.0021,256.92,0.03
29,1,14,300,61.76,20.68,4.5762,0.0002,14.1652,0.0021,256.9,0.03
30,1,14,300,62.07,19.27,4.5807,0.0002,14.2207,0.0017,258.41,0.02
31,1,14,300,62.65,16.8,4.5945,0.0002,14.339,0.0021,262.14,0.03
32,1,14,873,62.92,19.46,4.5941,0.0002,14.3193,0.0015,261.73,0.02
33,1,14,1073,63.12,20.02,4.5949,0.0002,14.3347,0.0015,262.1,0.02
34,1,14,1273,63.49,19.93,4.5943,0.0002,14.4063,0.0022,263.34,0.03
35,1,14,1473,64.18,18.78,4.5974,0.0002,14.5517,0.0022,266.36,0.03
36,1,14,1673,64.47,19.23,4.6012,0.0002,14.5307,0.0023,266.42,0.03
37,1,15,1473,64.11,19.01,4.5983,0.0002,14.5325,0.0022,266.11,0.03
38,1,15,1273,63.87,18.52,4.6001,0.0002,14.4928,0.0022,265.59,0.03
39,1,15,1073,63.69,17.85,4.5993,0.0002,14.4765,0.0022,265.2,0.03
40,1,15,873,63.53,17.11,4.5997,0.0002,14.474,0.0022,265.2,0.03
41,1,15,673,63.35,16.46,4.5982,0.0002,14.4682,0.0015,264.92,0.02
42,1,15,473,63.22,15.65,4.5992,0.0002,14.4666,0.0015,265.01,0.02
43,1,15,300,63.1,14.98,4.5991,0.0002,14.4528,0.0022,264.75,0.03
44,1,15,300,63.69,12.73,4.6152,0.0002,14.5623,0.0015,268.62,0.02
45,1,15,873,64.01,15.35,4.6077,0.0002,14.5759,0.0022,268.0,0.03
46,1,15,1073,64.2,16.02,4.6073,0.0002,14.5837,0.0015,268.1,0.02
