source_table,run,pressure_ruby_gpa,pressure_gold_gpa,pressure_tungsten_gpa,gold_lattice_a_angstrom,tungsten_lattice_a_angstrom,phase,silicon_lattice_a_angstrom,silicon_lattice_b_angstrom,silicon_lattice_c_angstrom
1,ST1,0.3,,0.1,,3.164,I,5.424,,
1,ST1,0.5,,0.4,,3.163,I,5.423,,
1,ST1,5.4,,5.1,,3.148,I,5.343,,
1,ST1,10.1,,9.5,,3.134,I,5.279,,
1,ST3,2.1,2.1,,4.062,,I,5.392,,
1,ST3,6.9,6.9,,4.029,,I,5.319,,
1,ST3,11.0,10.9,,4.004,,I,5.264,,
1,ST3,11.2,11.1,,4.003,,I,5.261,,
1,ST3,11.3,11.2,,4.002,,I,5.26,,
1,ST3,11.4,11.3,,4.002,,I,5.259,,
1,ST3,11.5,11.4,,4.001,,I,5.257,,
1,ST3,11.6,11.5,,4.000,,I,5.256,,
1,ST3,11.7,11.6,,3.999,,I,5.255,,
1,ST3,11.8,11.6,,3.999,,I,5.254,,
1,ST3,11.9,11.6,,3.999,,I,5.254,,
1,ST3,12.0,11.9,,3.998,,I,5.252,,
1,ST3,12.6,12.4,,3.995,,I,5.245,,
1,ST3,12.8,12.6,,3.994,,I,5.242,,
1,ST3,13.0,12.9,,3.993,,I,5.24,,
1,ST3,13.2,13.0,,3.992,,I,5.239,,
1,ST3,13.3,13.1,,3.991,,I,5.239,,
1,ST3,13.5,13.1,,3.991,,I,5.237,,
1,ST2,0.2,0.1,,4.078,,I,5.428,,
1,ST2,0.4,0.4,,4.075,,I,5.423,,
1,ST2,0.6,0.6,,4.074,,I,5.42,,
1,ST2,1.7,1.6,,4.066,,I,5.404,,
1,ST2,2.3,2.2,,4.061,,I,5.393,,
1,ST2,3.0,2.9,,4.056,,I,5.38,,
1,ST2,4.1,4.0,,4.048,,I,5.364,,
1,ST2,5.5,5.5,,4.038,,I,5.34,,
1,ST2,7.1,7.2,,4.027,,I,5.321,,
1,ST2,8.9,8.9,,4.016,,I,5.298,,
1,ST2,10.1,10.1,,4.009,,I,5.279,,
1,ST2,10.6,10.5,,4.006,,I,5.273,,
1,ST2,11.5,11.5,,4.000,,I,5.261,,
1,ST1-2,0.0,,,,,I,5.431,,
1,ST1-2,2.2,,,,,I,5.393,,
1,ST1-2,11.7,,,,,I,5.258,,
1,ST1-2,12.3,,,,,I,5.251,,
1,ST1-2,12.5,,,,,I,5.247,,
1,ST1-2,12.6,,,,,I,5.246,,
1,ST1-2,12.8,,,,,I,5.244,,
1,ST1-2,12.9,,,,,I,5.243,,
1,ST1-2,13.2,,,,,I,5.24,,
4,ST3,13.5,13.1,,3.990,,II,4.648,,2.560
4,ST3,13.6,13.2,,3.990,,II,4.648,,2.560
4,ST3,13.8,13.3,,3.989,,II,4.647,,2.559
4,ST3,13.9,13.5,,3.988,,II,4.645,,2.557
4,ST3,14.0,13.6,,3.987,,II,4.644,,2.558
4,ST3,14.1,13.7,,3.987,,II,4.642,,2.557
4,ST3,13.5,13.1,,3.990,,XI,4.714,4.601,2.545
4,ST3,13.6,13.2,,3.990,,XI,4.714,4.603,2.543
4,ST3,13.8,13.3,,3.989,,XI,4.714,4.601,2.544
4,ST3,13.9,13.5,,3.988,,XI,4.713,4.594,2.550
4,ST3,14.0,13.6,,3.987,,XI,4.714,4.587,2.555
4,ST3,14.1,14.0,,3.985,,XI,4.716,4.586,2.554
4,ST3,14.3,13.9,,3.986,,XI,4.712,4.575,2.558
4,ST3,14.4,14.0,,3.985,,XI,4.717,4.568,2.557
4,ST3,14.5,14.4,,3.983,,XI,4.718,4.562,2.558
4,ST3,14.6,14.3,,3.984,,XI,4.723,4.554,2.558
4,ST3,14.7,14.6,,3.982,,XI,4.726,4.545,2.556
4,ST3,14.9,14.8,,3.981,,XI,4.730,4.538,2.556
4,ST3,15.0,14.6,,3.982,,XI,4.734,4.530,2.555
4,ST3,15.2,14.8,,3.981,,XI,4.737,4.520,2.555
4,ST3,15.3,14.9,,3.980,,XI,4.740,4.511,2.524
4,ST3,15.5,15.1,,3.980,,XI,4.743,4.503,2.553
4,ST3,15.7,15.2,,3.979,,XI,4.748,4.491,2.553
4,ST3,15.8,15.4,,3.978,,XI,4.748,4.479,2.551
4,ST3,16.0,15.5,,3.977,,XI,4.761,4.461,2.553
4,ST3,16.1,15.7,,3.976,,XI,4.778,4.427,2.550
4,ST3,ST2,ST2,,ST2,,ST2,ST2,ST2,ST2
4,ST3,13.1,13.0,,,,II,4.656,,2.556
4,ST3,13.4,13.2,,,,II,4.653,,2.546
4,ST3,14.3,14.1,,,,II,4.644,,2.556
4,ST3,13.1,13.0,,,,XI,4.708,4.606,2.555
4,ST3,13.4,13.2,,,,XI,4.707,4.599,2.554
4,ST3,14.3,14.1,,,,XI,4.700,4.591,2.561
4,ST3,15.3,15.2,,,,XI,4.738,4.517,2.553
4,ST3,16.0,15.9,,,,XI,4.764,4.472,2.549
6,ST1,17.9,,17.3,,3.112,V,2.547,2.380,
6,ST1,25.5,,23.3,,3.096,V,2.510,2.357,
6,ST1,33.3,,32.4,,3.073,V,2.476,2.334,
6,ST1,40.9,,39.8,,3.056,V,2.449,2.315,
6,ST1,43.5,,42.5,,3.050,VI,7.962,4.774,4.755
6,ST1,46.0,,45.0,,3.045,VI,7.921,4.758,4.742
6,ST1,48.6,,47.7,,3.039,VII,2.451,4.160,
6,ST1,50.9,,50.1,,3.034,VII,2.443,4.146,
6,ST1,53.0,,52.3,,3.030,VII,2.437,4.135,
6,ST1,55.1,,54.4,,3.026,VII,2.431,4.125,
6,ST1,57.1,,56.4,,3.022,VII,2.425,4.115,
6,ST1,59.2,,58.6,,3.018,VII,2.419,4.105,
6,ST1,61.1,,60.3,,3.014,VII,2.415,4.096,
6,ST1,63.0,,62.2,,3.011,VII,2.410,4.089,
6,ST1,64.9,,64.3,,3.007,VII,2.405,4.081,
6,ST1,66.8,,66.0,,3.004,VII,2.400,4.072,
6,ST1,68.5,,67.9,,3.000,VII,2.396,4.064,
6,ST1,70.4,,69.9,,2.997,VII,2.391,4.064,
6,ST1,72.1,,71.7,,2.994,VII,2.388,4.051,
6,ST1,73.6,,73.1,,2.991,VII,2.385,4.047,
