pressure_gpa,pressure_uncertainty_gpa,temperature_k,temperature_uncertainty_k,sic_unit_cell_volume_a3,sic_unit_cell_volume_uncertainty_a3
65.37,0.01,300,3,56.727,0.127
66.96,0.01,300,3,56.577,0.091
68.66,0.01,300,3,56.306,0.016
69.64,0.01,300,3,56.009,0.021
69.75,0.01,300,3,55.988,0.019
75.82,0.01,300,3,55.444,0.013
77.5,0.01,300,3,55.345,0.025
81.64,0.01,300,3,54.919,0.021
82.13,0.01,300,3,54.874,0.027
82.75,0.01,300,3,54.823,0.017
83.8,0.01,300,3,54.667,0.035
83.8,0.01,300,3,54.671,0.01
84.13,0.01,300,3,54.636,0.027
85.54,0.01,300,3,54.404,0.048
87.23,0.01,300,3,54.279,0.033
89.96,0.01,300,3,53.835,0.056
90.02,0.01,300,3,53.997,0.019
91.42,0.01,300,3,53.923,0.001
91.55,0.01,300,3,53.825,0.001
92.72,0.01,300,3,53.562,0.002
93.92,0.01,300,3,53.677,0.002
93.97,0.01,300,3,53.677,0.013
96.65,0.01,300,3,53.539,0.02
98.36,0.01,300,3,53.258,0.005
100.82,0.01,300,3,52.98,0.014
101.36,0.01,300,3,52.92,0.007
104.2,0.01,300,3,52.836,0.009
106.63,0.01,300,3,52.535,0.005
106.76,0.01,300,3,52.526,0.012
116.86,0.01,300,3,51.878,0.022
117.77,0.01,300,3,51.752,0.035
118.25,0.01,300,3,51.677,0.086
118.91,0.01,300,3,51.724,0.036
119.27,0.01,300,3,51.652,0.034
119.56,0.01,300,3,51.523,0.088
119.73,0.01,300,3,51.482,0.079
120.02,0.01,300,3,51.528,0.092
122.64,0.01,300,3,51.255,0.098
123.1,0.01,300,3,51.218,0.111
123.31,0.01,300,3,51.224,0.145
124.92,0.01,300,3,51.163,0.048
125.48,0.01,300,3,51.072,0.121
126.44,0.01,300,3,51.148,0.018
127.3,0.01,300,3,51.045,0.032
128.59,0.01,300,3,51.033,0.008
130,0.01,300,3,50.881,0.022
134.13,0.01,300,3,50.497,0.075
134.47,0.01,300,3,50.447,0.066
134.63,0.01,300,3,50.378,0.045
134.69,0.01,300,3,50.427,0.064
134.79,0.01,300,3,50.367,0.055
141.11,0.01,300,3,49.95,0.088
144.7,0.01,300,3,49.54,0.076
150.4,0.01,300,3,49.174,0.031
154.16,0.01,300,3,48.817,0.015
163.03,0.01,300,3,48.374,0.025
164.36,0.01,300,3,48.165,0.018
166.75,0.01,300,3,47.951,0.03
174.02,0.01,300,3,47.623,0.025
178.09,0.01,300,3,47.374,0.017
182.56,0.01,300,3,47.081,0.023
188.18,0.01,300,3,46.684,0.028
189.01,0.01,300,3,46.589,0.035
197.11,0.01,300,3,46.296,0.027
199.21,0.01,300,3,46.15,0.098
200.96,0.01,300,3,46.045,0.08
202.09,0.01,300,3,45.97,0.09
83.08,1.02,1204,150,55.023,0.067
95.42,1.03,1216.3,150,53.825,0.003
202.14,1.12,1296.83,150,46.241,0.061
86.73,1.13,1300.3,150,54.634,0.014
83.12,1.13,1305.6,150,55.028,0.026
95.55,1.13,1308,150,53.84,0.014
102.46,1.14,1311.67,150,53.173,0.004
102.45,1.19,1353.75,150,53.177,0.007
95.44,1.19,1354,150,53.878,0.01
83.12,1.19,1354.2,150,55.058,0.06
107.7,1.2,1362,150,52.756,0.003
86.77,1.21,1372,150,54.626,0.013
107.81,1.23,1392.75,150,52.752,0.004
95.51,1.24,1398.5,150,53.892,0.009
102.53,1.27,1424.5,150,53.213,0.009
107.89,1.27,1429,150,52.766,0.009
82.95,1.27,1430.25,150,55.12,0.033
83.05,1.27,1433.25,150,55.082,0.029
70.28,1.28,1438,150,56.367,0.022
138.34,1.28,1438,150,50.601,0.059
95.53,1.28,1441,150,53.91,0.006
86.87,1.29,1445,150,54.652,0.015
183.7,1.32,1472,150,47.221,0.057
77.79,1.32,1473,150,55.789,0.014
198.18,1.33,1480,150,46.517,0.045
82.95,1.33,1483.5,150,55.134,0.052
107.94,1.34,1488.75,150,52.769,0.002
95.57,1.34,1490.25,150,53.94,0.007
102.63,1.35,1496,150,53.241,0.012
141.56,1.36,1505,150,50.184,0.101
87.05,1.36,1506,150,54.668,0.029
127.56,1.37,1515,150,51.338,0.044
151.45,1.37,1515,150,49.441,0.025
70.22,1.37,1519,150,56.418,0.018
123.55,1.37,1520,150,51.439,0.092
138.79,1.37,1520,150,50.627,0.006
175.66,1.37,1520,150,47.847,0.025
126.24,1.38,1525,150,51.276,0.057
108.04,1.38,1529.75,150,52.783,0.004
87.08,1.38,1530,150,54.654,0.028
135.15,1.38,1530,150,50.736,0.084
135,1.39,1533.33,150,50.765,0.088
82.99,1.39,1534,150,55.159,0.035
89.05,1.4,1541,150,54.539,0.031
95.62,1.4,1541.25,150,53.957,0.004
80.03,1.4,1542,150,55.002,0.096
77.86,1.41,1550,150,55.832,0.009
89.14,1.41,1554,150,54.167,0.026
161.72,1.41,1555,150,48.632,0.021
129.38,1.42,1566,150,51.238,0.011
102.75,1.43,1575.5,150,53.262,0.014
87.22,1.44,1579.75,150,54.672,0.044
89.02,1.45,1589.75,150,54.555,0.028
95.7,1.45,1590.5,150,53.966,0.001
70.62,1.45,1593,150,56.459,0.024
108.09,1.47,1603.5,150,52.8,0.004
83.64,1.47,1606.7,150,55.179,0.042
87.76,1.47,1610.75,150,54.68,0.042
77.35,1.48,1613,150,55.842,0.015
77.86,1.49,1625,150,55.867,0.005
139.15,1.49,1625,150,50.621,0.012
108.14,1.51,1645,150,52.806,0.003
88.43,1.51,1647.25,150,54.58,0.014
119.63,1.52,1650,150,51.905,0.032
102.84,1.52,1653.25,150,53.292,0.013
89.59,1.53,1658,150,54.156,0.047
139.91,1.54,1671.25,150,50.644,0.006
83.66,1.55,1674.75,150,55.185,0.008
70.57,1.55,1676,150,56.486,0.011
95.76,1.55,1676,150,53.997,0.002
108.03,1.55,1680.33,150,52.851,0.007
88.57,1.56,1686,150,54.604,0.051
102.97,1.57,1700,150,53.289,0.008
97.53,1.61,1730,150,53.578,0.051
95.82,1.62,1737.5,150,54.012,0.01
70.48,1.63,1748,150,56.518,0.027
139.84,1.63,1750,150,50.676,0.022
83.35,1.63,1753.75,150,55.233,0.04
77.27,1.64,1756,150,55.917,0.049
88.69,1.64,1761.25,150,54.619,0.044
108.1,1.66,1777.75,150,52.887,0.009
95.88,1.67,1788.75,150,54.023,0.013
103.04,1.68,1797,150,53.322,0.015
77.99,1.69,1801,150,55.921,0.004
88.79,1.69,1808,150,54.626,0.035
83.76,1.72,1828.75,150,55.254,0.02
70.41,1.73,1838,150,56.554,0.026
80.86,1.73,1840,150,55.782,0.074
90.15,1.73,1840,150,54.194,0.008
108.14,1.75,1855.25,150,52.904,0.007
103.17,1.75,1855.75,150,53.333,0.019
140.03,1.76,1862,150,50.685,0.033
88.84,1.76,1870.25,150,54.633,0.037
95.96,1.78,1881.5,150,54.045,0.01
70.88,1.81,1908,150,56.596,0.029
98.15,1.82,1917,150,53.63,0.104
78.04,1.82,1922,150,55.955,0.001
108.23,1.83,1929.75,150,52.925,0.006
103.28,1.84,1934.75,150,53.345,0.014
81.22,1.84,1935,150,55.185,0.055
89.71,1.84,1936,150,54.263,0.027
139.24,1.84,1938,150,50.681,0.06
89.06,1.85,1947,150,54.664,0.022
83.8,1.86,1956.5,150,55.28,0.015
97.43,1.86,1960,150,53.671,0.104
198.7,1.87,1961.43,150,46.587,0.032
176.17,1.87,1962.5,150,47.979,0.058
81.72,1.87,1963,150,55.223,0.128
89.43,1.87,1966,150,54.306,0.095
129.57,1.88,1977,150,51.316,0.017
120.58,1.89,1980,150,51.802,0.023
151.67,1.89,1980,150,49.556,0.024
128.06,1.89,1985,150,51.415,0.013
96.09,1.9,1989.25,150,54.082,0.007
98.01,1.9,1991,150,53.685,0.067
89.13,1.9,1995.25,150,54.669,0.022
120.14,1.91,1998.33,150,51.974,0.098
77.64,1.91,2000,150,56.083,0.061
123.42,1.91,2000,150,51.504,0.029
