pressure_gpa,pressure_uncertainty_gpa,measured_temperature_k,kcl_temperature_k,kcl_lattice_a_angstrom,kcl_unit_cell_volume_a3,sic_lattice_a_angstrom,sic_unit_cell_volume_a3,sic_unit_cell_volume_uncertainty_a3
29.7901735132,0.0056,300,298.75,3.240522,34.0286658903,4.207295,74.4747223227,0.095434
29.8289674099,0.0056,300,298.75,3.240224,34.0192788749,4.205074,74.3568406036,0.013653
30.7558311765,0.0056,300,298.75,3.233199,33.7984907376,4.205149,74.3608192702,0.010292
31.5552234152,1.86928,1964,1546.75,3.248559,34.2824835552,4.225292,75.4345288532,0.041107
31.7739567743,2.04288,2119,1663,3.248889,34.2929322208,4.2272,75.5367661076,0.063186
31.808960667,2.07984,2152,1687.75,3.249051,34.2980623425,4.224815,75.4089839619,0.007497
31.8954865226,0.0056,300,298.75,3.224801,33.535806835,4.191264,73.6266518163,0
33.2819514949,0.0056,300,298.75,3.214919,33.2284517356,4.186233,73.3618358324,0.125455
34.7577744901,1.204,1370,1101.25,3.217181,33.2986391845,4.193911,73.7662370508,0.066109
34.8136232133,1.31376,1468,1174.75,3.21795,33.3225229275,4.195904,73.8714510042,0.025334
34.8176195203,1.38208,1529,1220.5,3.218648,33.3442114247,4.196277,73.8911534336,0.074287
34.8593251127,1.2768,1435,1150,3.217235,33.3003159537,4.193205,73.7289900538,0.07123
34.9379599338,1.316,1470,1176.25,3.217095,33.2959688905,4.192502,73.6919137905,0.049721
40.0739183756,0.0056,300,298.75,3.171049,31.8866473543,4.16376,72.1866796584,0.062968
40.3963726645,1.5512,1680,1333.75,3.183235,32.2556727141,4.18236,73.1584064479,0.158407
40.761772054,1.77856,1883,1486,3.183083,32.2510522935,4.178169,72.9386981418,0.067265
41.0491510667,1.42072,1563.5,1246.375,3.177989,32.0964624636,4.184351,73.2629367168,0.019838
41.1859590591,1.39850666667,1543.66666667,1231.5,3.176949,32.0649619785,4.184511,73.271341259,0.010151
41.3120645429,1.378272,1525.6,1217.95,3.175996,32.0361147324,4.185093,73.3019182024,0.023073
41.4299608485,2.16272,2226,1743.25,3.18251,32.2336384908,4.183327,73.2091628656,0.127381
41.7718036481,0.0056,300,298.75,3.161088,31.5871002216,4.162892,72.1415437883,0.020453
41.7749272232,0.0056,300,298.75,3.16107,31.5865606309,4.160871,72.0365250013,0.033284
41.8653369219,1.1704,1340,1078.75,3.170785,31.8786840203,4.172948,72.6656091779,0.152857
41.8703955132,1.08976,1268,1024.75,3.170034,31.8560379988,4.168427,72.4296857309,0.065989
42.2113494515,1.42408,1566.5,1248.625,3.170991,31.8848977203,4.1861,73.3548437604,0.005086
42.3859616751,1.87170666667,1966.16666667,1548.375,3.173974,31.9749662369,4.186577,73.3799226508,0.006617
42.7353419956,0.0056,300,298.75,3.15559,31.4225707942,4.158434,71.9100248928,0.010973
43.0337614352,0.0056,300,298.75,3.153909,31.3723806159,4.158682,71.9228913346,0.022074
43.1692881514,2.37216,2413,1883.5,3.173777,31.9690128069,4.178607,72.9616391709,0.064626
43.2029070419,1.9360656,2023.63,1591.4725,3.169659,31.8447340811,4.178836,72.973635368,0.326341
43.2550498907,0.0056,300,298.75,3.152669,31.3353917942,4.153021,71.6295761693,0.267355
43.2917821473,2.360736,2402.8,1875.85,3.172936,31.9436057136,4.176105,72.8306571916,0.071127
43.3461077909,1.89168,1984,1561.75,3.168415,31.8072543678,4.181563,73.1165907222,0.297283
43.5070556667,2.53904,2562,1995.25,3.17325,31.9530902587,4.175826,72.8160610098,0.054606
44.2577232341,2.8205744,2813.37,2183.7775,3.17128,31.8936163593,4.179721,73.0200085773,0.022174
44.2971816616,2.9038128,2887.69,2239.5175,3.171791,31.9090362505,4.181024,73.088320363,0.02944
44.4852907869,2.69696,2703,2101,3.168822,31.8195133826,4.176471,72.8498078284,0.008135
44.5249515602,2.980544,2956.2,2290.9,3.171117,31.8886987308,4.180304,73.0505679877,0.023738
44.7805688937,2.8564368,2845.39,2207.7925,3.16849,31.8095131633,4.177692,72.913719889,0.023874
44.7913984526,3.0557968,3023.39,2341.2925,3.170201,31.8610728709,4.181533,73.1150170413,0.01971
44.7933380833,2.3128,2360,1843.75,3.163631,31.6633941745,4.173919,72.7163464931,0.015727
44.906564005,2.53456,2558,1992.25,3.16491,31.7018125512,4.174058,72.7236115421,0.004781
48.9331535352,0.0056,300,298.75,3.122602,30.447378115,4.138766,70.8945121116,0.040191
53.7084997441,0.0056,300,298.75,3.099598,29.7794118429,4.120082,69.9387037855,0.032367
54.1638047617,0.0056,300,298.75,3.0975,29.7189831094,4.117706,69.8177752108,0.083559
54.4253211527,0.0056,300,298.75,3.096302,29.6845137888,4.116867,69.7751069056,0.05626
54.5279775682,2.35536,2398,1872.25,3.112397,30.1498366914,4.134867,70.6943384027,0.040314
54.5365514212,0.0056,300,298.75,3.095794,29.6699054666,4.11758,69.8113662269,0.11409
54.6265082722,2.55248,2574,2004.25,3.113353,30.1776275851,4.134047,70.6522878152,0.026284
55.028488817,2.6488,2660,2068.75,3.112105,30.1413516623,4.133713,70.6351646734,0.023542
55.0507670967,1.28576,1443,1156,3.102284,29.8568962468,4.123533,70.1145939883,0.050976
55.0546073273,0.0056,300,298.75,3.09344,29.6022751302,4.11771,69.8179786771,0.057516
55.0848947549,1.40448,1549,1235.5,3.102957,29.8763316537,4.125114,70.1952726296,0.029715
55.2880325889,1.51312,1646,1308.25,3.102769,29.8709015977,4.126556,70.2689120278,0.040154
55.3122824693,1.63632,1756,1390.75,3.103521,29.8926257699,4.127944,70.3398424063,0.018189
55.4694292705,1.77632,1881,1484.5,3.103769,29.8997924334,4.129153,70.4016643052,0.056647
55.6755272757,1.9096,2000,1573.75,3.10374,29.898954337,4.130341,70.4624476495,0.066136
55.7466137691,0.0056,300,298.75,3.090326,29.512968027,4.112592,69.5579668257,0.03209
55.9054013712,2.0664,2140,1678.75,3.103765,29.899676833,4.131867,70.5405758911,0.048963
56.0094605172,2.18176,2243,1756,3.104089,29.9090414336,4.130909,70.4915214047,0.0216
56.185775087,2.81568,2809,2180.5,3.107753,30.0150784698,4.131747,70.5344300326,0.038035
56.2618802499,2.28928,2339,1828,3.103661,29.8966713262,4.130732,70.4824605917,0.013479
56.2821084059,2.59168,2609,2030.5,3.105702,29.9556912145,4.130163,70.4533381533,0.036699
56.3628971349,2.46176,2493,1943.5,3.104402,29.918089957,4.129979,70.4439224208,0.027763
56.9433827053,1.22528,1389,1115.5,3.093172,29.5945820224,4.116502,69.7565498406,0.036054
56.9661253769,1.31264,1467,1174,3.093662,29.6086487887,4.117088,69.7863444265,0.039782
56.986385009,1.18384,1352,1087.75,3.092697,29.5809501249,4.116263,69.7444005589,0.033412
57.0477829129,1.36752,1516,1210.75,3.093665,29.6087349255,4.117268,69.7954980501,0.022738
57.1241750692,1.4392,1580,1258.75,3.093806,29.6127835428,4.117504,69.8075006802,0.016506
57.1245875738,2.6376,2650,2061.25,3.102069,29.8506890899,4.137754,70.8425200168,0.090549
57.1580204301,2.7720336,2770.03,2151.2725,3.102855,29.8733854778,4.1264,70.2609430077,0.009553
57.1851545576,1.5792,1705,1352.5,3.094482,29.6321990614,4.118035,69.8345116292,0.022083
57.2765454479,1.64864,1767,1399,3.09454,29.6338652851,4.11901,69.8841261451,0.059582
57.3351079942,1.75616,1863,1471,3.095007,29.647283535,4.11971,69.9197613115,0.037273
57.4433737993,2.49984,2527,1969,3.099628,29.7802765269,4.126104,70.2458239592,0.041149
57.4743731194,1.99584,2077,1631.5,3.096011,29.6761450493,4.120745,69.9724726445,0.027221
57.5045650506,1.91072,2001,1574.5,3.095291,29.6554456501,4.120642,69.967225789,0.053994
57.5733219659,2.59728,2614,2034.25,3.099703,29.7824383103,4.123963,70.1365308222,0.043238
57.6569911241,2.12576,2193,1718.5,3.096067,29.6777554061,4.121677,70.0199609715,0.046026
57.6843995583,2.18736,2248,1759.75,3.096364,29.6862970225,4.122445,70.059109127,0.063373
57.6847330024,3.2144,3165,2447.5,3.103496,29.8919033875,4.134947,70.6984417921,0.019404
57.7114210547,2.27472,2326,1818.25,3.09684,29.6999900345,4.122677,70.0709380014,0.04043
57.7217331808,2.87392,2861,2219.5,3.100939,29.8180795708,4.127959,70.3406092056,0.013601
57.7236880504,2.76864,2767,2149,3.100197,29.7966798709,4.124769,70.1776619572,0.025402
57.7353119952,2.64096,2653,2063.5,3.099257,29.7695844436,4.12488,70.1833276782,0.031132
57.8370893383,3.26704,3212,2482.75,3.103152,29.8819645878,4.136684,70.7875757913,0.023285
57.8579626312,3.04528,3014,2334.25,3.101501,29.8342947863,4.129252,70.4067282482,0.047506
57.9224142926,2.55024,2572,2002.75,3.097768,29.7266977598,4.123565,70.1162263393,0.023121
58.0324498573,2.70592,2711,2107,3.098336,29.7430526261,4.125355,70.2075763252,0.056423
58.08236251,3.1976,3150,2436.25,3.10152,29.8348430902,4.132243,70.5598352261,0.028256
58.117632629,3.2088,3160,2443.75,3.101434,29.8323613471,4.133687,70.6338318503,0.022392
59.2161782777,0.0056,300,298.75,3.075212,29.0820610671,4.100817,68.9622095207,0
59.7364005658,1.35072,1501,1199.5,3.081636,29.2646959864,4.110308,69.4421404701,0.408315
59.9073225254,1.44592,1586,1263.25,3.081514,29.2612204122,4.111598,69.5075432174,0.401916
60.0903235598,1.5344,1665,1322.5,3.081296,29.255010645,4.111822,69.5189041564,0.461833
60.2926446964,1.67328,1789,1415.5,3.081322,29.2557512133,4.105269,69.1870572933,0
60.3424265949,1.87824,1972,1552.75,3.082441,29.2876359781,4.108235,69.3371257357,0
60.363884034,1.7864,1890,1491.25,3.081749,29.2679154113,4.10712,69.2806855021,0
60.4914928393,1.93424,2022,1590.25,3.082158,29.279569994,4.122832,70.0788416551,0.021789
64.4360992983,0.00559999999999,300,298.75,3.053897,28.4815195442,4.08055,67.9447822628,0.051335
64.45691424,2.31672,2363.5,1846.375,3.067786,28.8718879489,4.097002,68.7699213855,0.09893
64.6019979598,2.53624,2559.5,1993.375,3.068548,28.89340755,4.096495,68.7443939127,0.049374
64.8790025144,2.83824,2829.14285714,2195.60714286,3.069278,28.9140334672,4.098188,68.8296612192,0.030344
64.9506101946,2.72888,2731.5,2122.375,3.068301,28.8864308654,4.098275,68.8340448451,0.0224
