run,ruby_pressure_mao_gpa,ruby_pressure_dewaele_gpa,atomic_volume_a3
1,1.8,1.8,16.7256
1,8,8.03,15.9444
1,8.6,8.64,15.8905
1,10,10,15.7542
1,12.2,12.3,15.5552
1,14.5,14.6,15.3331
1,17.5,17.7,15.1011
1,19.7,19.9,14.9195
1,21.2,21.4,14.8156
1,23.8,24.1,14.6409
1,26.9,27.3,14.4428
1,30,30.4,14.271
1,35.5,36.1,13.9785
1,33.1,33.6,14.1171
1,0,0,17.0212
2,35.5,36.1,13.9244
2,46.1,47.1,13.4615
2,54.3,55.6,13.1249
2,62.4,64.2,12.8244
2,68.1,70.2,12.6301
2,73.2,75.6,12.4705
2,78.4,81.2,12.3348
2,84.3,87.5,12.188
2,88.8,92.3,12.0738
2,94,97.9,11.9548
2,100,104,11.803
2,108,113,11.6461
2,116,122,11.5135
3,17.6,17.8,15.0723
3,22.6,22.9,14.7065
3,29.8,30.3,14.268
3,37.4,38,13.8647
3,42.1,42.9,13.6326
3,46.2,47.2,13.4703
