pressure_gpa,pressure_uncertainty_gpa,temperature_k,temperature_uncertainty_k,volume_angstrom3,volume_uncertainty_angstrom3
64.8,0.8,300,,40.28,0.04
68.1,0.6,300,,40.00,0.05
79.5,0.6,300,,38.91,0.06
81.8,0.8,300,,38.73,0.04
87.7,1.2,300,,38.49,0.04
89.8,1.8,300,,38.22,0.03
91.1,1.8,300,,38.17,0.06
102.1,1.4,300,,37.29,0.04
103.1,1.4,300,,37.16,0.07
109.5,1.6,300,,36.87,0.05
119.7,1.3,300,,36.33,0.04
126.8,2.6,300,,36.09,0.04
139.4,1.8,300,,35.68,0.05
83.4,1.6,1150,120,38.85,0.06
116.0,2.2,1150,120,36.82,0.05
64.4,1.4,1180,120,40.46,0.04
95.7,1.8,1230,120,38.21,0.03
108.0,2.2,1200,120,37.24,0.05
127.3,2.6,1200,120,36.23,0.10
65.1,0.8,1580,160,40.56,0.03
85.6,0.9,1450,150,38.88,0.04
92.7,0.9,1550,160,38.21,0.05
109.9,0.9,1500,150,37.19,0.03
127.3,2.6,1500,150,36.28,0.06
141.2,2.8,1600,160,35.73,0.07
65.7,1.4,1700,170,40.65,0.03
71.8,1.4,1750,180,40.16,0.03
92.8,1.8,1800,180,38.45,0.04
96.9,1.8,1700,170,38.21,0.05
117.8,2.4,1730,170,36.89,0.06
128.3,2.6,1720,170,36.28,0.08
142.0,2.8,1700,170,35.73,0.10
86.8,1.8,1900,190,38.95,0.03
87.0,1.8,1900,190,38.92,0.03
97.5,2.0,1900,190,38.21,0.05
97.6,2.0,1920,190,38.27,0.05
117.9,2.4,1930,190,37.02,0.05
128.9,2.6,1900,190,36.30,0.06
143,2.8,1900,190,35.92,0.09
73.9,1.4,2100,210,40.30,0.03
90.6,1.8,2120,210,38.89,0.03
96.6,2.0,2100,210,38.31,0.04
97.7,2.0,2250,230,38.29,0.05
98.3,2.0,2130,210,38.25,0.05
114.7,2.4,2100,210,37.33,0.07
119.5,2.4,2100,210,37.00,0.07
128.5,2.6,2200,220,36.38,0.04
131.1,2.6,2200,220,36.34,0.09
