experiment,temperature_k,pressure_gpa,pressure_uncertainty_gpa,unit_cell_volume_a3,unit_cell_volume_uncertainty_a3
S145,300,20.48,0.09,121.50,0.09
S145,300,25.64,0.02,119.85,0.02
S145,300,22.74,0.12,120.65,0.06
S145,300,26.57,0.09,119.08,0.02
S145,300,22.96,0.13,120.44,0.16
S145,600,21.34,0.14,122.11,0.04
S145,600,21.73,0.06,121.68,0.10
S145,600,27.55,0.13,119.32,0.01
S145,600,24.45,0.09,120.63,0.15
S145,700,21.89,0.01,121.56,0.01
S145,600,24.76,0.06,120.58,0.10
S145,900,18.12,0.06,123.63,0.02
S145,900,23.20,0.02,121.87,0.09
S145,900,22.38,0.07,122.47,0.03
S145,900,26.31,0.05,120.56,0.06
S145,900,22.49,0.08,121.87,0.03
S145,1000,26.26,0.05,120.80,0.11
S145,900,22.50,0.13,121.99,0.06
S145,1100,24.35,0.06,121.95,0.08
S145,900,28.37,0.07,119.66,0.02
S145,1100,27.29,0.09,120.75,0.02
S145,950,22.69,0.08,122.16,0.04
S145,1300,27.76,0.06,121.06,0.08
S145,1000,22.91,0.10,122.29,0.02
S145,1300,27.99,0.12,121.92,0.14
S145,1010,18.37,0.12,123.79,0.02
S145,1400,28.09,0.03,121.16,0.08
S145,1075,18.52,0.14,123.91,0.04
S145,1100,22.81,0.08,122.74,0.02
S145,1100,28.64,0.19,119.94,0.02
S145,1150,18.72,0.18,124.16,0.05
S145,1200,23.07,0.11,122.80,0.01
S145,1300,18.63,0.14,124.06,0.04
S145,1300,28.85,0.05,120.35,0.02
S192,300,16.09,0.16,122.95,0.03
S192,300,19.07,0.07,121.70,0.01
S192,300,20.25,0.17,121.87,0.04
S192,300,21.19,0.16,121.53,0.02
S192,300,22.44,0.13,121.00,0.03
S192,300,23.63,0.18,120.56,0.03
