source_order,pressure_gpa,pressure_uncertainty_gpa,volume_a3,volume_uncertainty_a3,fit_included,exclusion_reason
1,6.2,0.3,47.21,0.03,0,partial_amorphization_below_9_gpa
2,9.0,0.4,47.20,0.02,1,
3,10.7,0.5,46.99,0.04,1,
4,12.5,0.4,46.70,0.04,1,
5,14.3,0.4,46.35,0.05,1,
6,16.2,0.5,46.05,0.05,1,
7,18.8,0.5,45.63,0.03,1,
8,19.4,0.7,45.44,0.04,1,
9,21.7,0.5,45.09,0.02,1,
10,23.8,0.8,44.72,0.03,1,
11,26.1,0.8,44.38,0.02,1,
12,30.1,0.4,43.91,0.02,1,
13,33.6,0.4,43.45,0.04,1,
14,34.3,0.4,43.35,0.03,1,
15,36.0,0.4,43.15,0.03,1,
16,36.5,0.3,43.06,0.03,1,
17,37.8,0.3,43.00,0.02,1,
