series,pressure_gpa,pressure_esd_gpa,nacl_b1_volume_a3,nacl_b1_volume_esd_a3,nacl_b2_volume_a3,nacl_b2_volume_esd_a3,lattice_a_angstrom,lattice_a_esd_angstrom,lattice_c_angstrom,lattice_c_esd_angstrom,volume_a3_conventional_cell,volume_esd_a3_conventional_cell
single_crystal,0.0,,,,,,4.17755,0.00016,2.66518,0.00034,46.5126,0.0061
single_crystal,1.168,0.006,,,,,4.17119,0.00027,2.66356,0.00030,46.3429,0.0053
single_crystal,2.299,0.008,,,,,4.16504,0.00011,2.66180,0.00024,46.1756,0.0043
single_crystal,3.137,0.008,,,,,4.16051,0.00014,2.66062,0.00029,46.0550,0.0051
single_crystal,4.252,0.008,,,,,4.15488,0.00013,2.65868,0.00026,45.8969,0.0045
single_crystal,5.037,0.011,,,,,4.15084,0.00015,2.65767,0.00030,45.7902,0.0053
single_crystal,5.851,0.009,,,,,4.14669,0.00012,2.65612,0.00022,45.6721,0.0038
single_crystal,6.613,0.008,,,,,4.14323,0.00014,2.65470,0.00027,45.5715,0.0050
single_crystal,7.504,0.009,,,,,4.13888,0.00012,2.65340,0.00022,45.4536,0.0041
single_crystal,8.264,0.011,,,,,4.13555,0.00015,2.65226,0.00030,45.3609,0.0056
single_crystal,9.635,0.012,,,,,4.12962,0.00011,2.64976,0.00023,45.1885,0.0042
powder_run_1,11.69,,138.538,0.012,,,4.1217,0.0001,2.6458,0.0001,44.947,0.002
powder_run_1,17.67,,128.833,0.021,,,4.0962,0.0001,2.6381,0.0001,44.264,0.002
powder_run_1,22.38,,122.42,0.22,29.616,0.011,4.0781,0.0001,2.6321,0.0002,43.776,0.003
powder_run_1,29.38,,116.21,0.15,28.283,0.014,4.0552,0.0003,2.6192,0.0005,43.073,0.009
powder_run_1,37.71,,,,26.163,0.010,4.0287,0.0003,2.6048,0.0004,42.278,0.008
powder_run_1,46.03,,,,25.055,0.012,4.0035,0.0004,2.5919,0.0010,41.544,0.017
powder_run_1,52.73,,,,24.290,0.011,3.9859,0.0004,2.5806,0.0004,40.999,0.009
powder_run_2,26.32,,,,28.088,0.005,4.0576,0.0002,2.6217,0.0003,43.164,0.006
powder_run_2,30.98,,,,27.229,0.002,4.0440,0.0002,2.6155,0.0003,42.772,0.005
powder_run_2,34.21,,,,26.695,0.001,4.0308,0.0001,2.6101,0.0002,42.407,0.003
powder_run_2,38.45,,,,26.056,0.002,4.0207,0.0002,2.6037,0.0002,42.093,0.004
powder_run_2,43.37,,,,25.388,0.001,4.0030,0.0002,2.5966,0.0002,41.610,0.004
powder_run_2,47.49,,,,24.880,0.002,3.9907,0.0003,2.5921,0.0004,41.280,0.007
