data_number,temperature_k,pressure_gpa,pressure_esd_gpa,lattice_a_angstrom,lattice_a_esd_angstrom,lattice_c_angstrom,lattice_c_esd_angstrom,volume_a3_conventional_cell,volume_esd_a3_conventional_cell,au_volume_a3_conventional_cell,au_volume_esd_a3_conventional_cell
M1034007,1300,19.32,0.10,4.1145,0.0003,2.6464,0.0004,44.80,0.02,63.84,0.02
M1034008,1100,18.9,0.2,4.1105,0.0003,2.6443,0.0002,44.68,0.02,63.57,0.03
M1034009,900,18.5,0.2,4.1062,0.0004,2.6422,0.0003,44.55,0.02,63.30,0.04
M1034010,700,17.9,0.2,4.1031,0.0002,2.6390,0.0002,44.43,0.03,63.08,0.03
M1034011,500,17.5,0.2,4.1002,0.0004,2.6377,0.0004,44.34,0.03,62.84,0.02
M1034012,300,16.85,0.12,4.0987,0.0003,2.6359,0.0002,44.28,0.02,62.66,0.02
M1036003,1300,25.6,0.2,4.0866,0.0002,2.6345,0.0003,44.00,0.02,62.24,0.02
M1036004,1100,25.02,0.02,4.0828,0.0003,2.6337,0.0004,43.90,0.02,62.04,0.02
M1036005,900,24.6,0.3,4.0792,0.0006,2.6304,0.0009,43.77,0.04,61.82,0.04
M1036006,700,24.1,0.2,4.07704,0.00005,2.62788,0.00008,43.681,0.004,61.64,0.02
M1036007,500,23.4,0.2,4.0751,0.0004,2.6235,0.0009,43.60,0.05,61.48,0.03
M1036008,300,23.05,0.10,4.0743,0.0004,2.6237,0.0005,43.55,0.04,61.28,0.01
M1036012,1300,30.9,0.2,4.0630,0.0002,2.6260,0.0004,43.35,0.04,61.06,0.03
M1036013,1100,30.3,0.2,4.0600,0.0004,2.6232,0.0003,43.24,0.02,60.90,0.02
M1036014,900,29.98,0.02,4.0591,0.0004,2.6197,0.0003,43.16,0.03,60.70,0.03
M1036015,700,29.5,0.2,4.0545,0.0003,2.6192,0.0002,43.06,0.03,60.5,0.2
M1036016,500,29.1,0.3,4.0538,0.0004,2.6181,0.0005,43.02,0.02,60.36,0.03
M1036017,300,28.5,0.2,4.0513,0.0007,2.6167,0.0005,42.95,0.04,60.22,0.02
M914003,1700,38.5,0.4,4.0462,0.0004,2.6211,0.0006,42.91,0.03,60.08,0.04
M914005,1500,37.7,0.3,4.0425,0.0004,2.6193,0.0007,42.80,0.03,59.98,0.03
M914006,1300,37.4,0.4,4.0392,0.0005,2.6172,0.0008,42.70,0.04,59.80,0.04
M914007,1100,36.7,0.4,4.0365,0.0006,2.6155,0.0010,42.62,0.05,59.68,0.05
M914008,900,36.4,0.4,4.0340,0.0007,2.6135,0.0010,42.53,0.05,59.50,0.04
