source_row,solid,formula,v0_cm3_mol,pressure_max_gpa,mrs3_k0_gpa,mrs3_k0_prime,mrs3_mean_pressure_error_gpa,sms3_k0_gpa,sms3_k0_prime,sms3_mean_pressure_error_gpa,sms4_k0_gpa,sms4_k0_prime,sms4_mean_pressure_error_gpa
1,n-H2,H2,22.90,590,0.1696,7.0567,1.159,0.1548,7.4095,2.564,0.1755,6.7984,1.668
2,Cu,Cu,7.115,450,138.34,5.059,0.764,137.53,5.1459,0.871,138.8,4.9951,0.719
3,Mo,Mo,9.387,350,269.23,4.0024,1.025,266.6,4.0766,0.984,266.86,4.0332,0.917
4,W,W,9.550,270,312.54,3.951,0.203,312.1,3.9973,0.249,312.67,3.9367,0.198
5,Zn,Zn,9.166,250,59.21,5.9849,0.875,58.976,6.0452,0.984,59.351,5.9115,0.728
6,Ag,Ag,10.27,200,104.28,5.9254,0.660,104.72,5.889,0.728,104.49,5.8236,0.624
7,Pt,Pt,9.098,200,280.19,5.2392,0.757,279.77,5.2756,0.769,280.28,5.1957,0.750
8,Ti,Ti,12.01,200,98.62,3.5498,0.418,97.677,3.6699,0.381,98.5,3.5514,0.422
9,Ta,Ta,10.80,180,198.88,3.7537,0.687,197.05,3.8506,0.610,197.75,3.7863,0.614
10,Au,Au,10.22,180,184.09,5.221,0.711,183.94,5.2566,0.737,184.51,5.1732,0.702
11,Pd,Pd,8.896,160,194.25,5.3156,0.764,194.79,5.2743,0.806,194.03,5.2775,0.758
12,Zr,Zr,14.02,140,95.138,2.7573,0.470,94.53,2.8591,0.514,94.917,2.7909,0.468
13,Cr,Cr,7.231,120,191.27,4.9033,1.036,189.22,5.0634,1.027,188.93,5.0181,1.065
14,Co,Co,6.689,120,196.08,4.3533,0.641,195.25,4.4473,0.649,196.66,4.3411,0.670
15,Ni,Ni,6.592,120,187.4,4.8811,0.645,187.2,4.9224,0.656,187.46,4.8637,0.636
16,Al2O3,Al2O3,26.62,120,250.85,3.9807,0.747,249.96,4.0516,0.743,250.77,3.9791,0.746
17,Nb,Nb,10.83,100,167.95,3.986,1.836,170.86,3.8241,1.867,169.11,3.9201,1.745
18,Cd,Cd,13.00,100,49.388,6.0152,0.642,49.233,6.066,0.707,49.594,5.927,0.544
19,Al,Al,10.00,100,76.488,4.6395,0.804,76.542,4.6673,0.745,76.538,4.6155,0.842
20,Th,Th,19.79,100,52.128,4.1686,0.316,51.863,4.2559,0.394,52.153,4.1432,0.296
21,V,V,8.365,100,157.99,3.8222,0.625,158.5,3.8208,0.656,158.51,3.7918,0.617
22,In,In,15.73,90,39.107,5.5442,0.819,39.357,5.5381,0.869,39.391,5.4362,0.739
23,MgO,MgO,8.465,90,147.49,5.8863,0.389,147.24,5.9298,0.389,147.3,5.8813,0.382
24,Brass,,37.82,85,116.54,4.8759,0.465,116.55,4.91,0.481,117.02,4.8163,0.459
25,Be,Be,4.890,80,120.06,3.5593,0.409,120.06,3.602,0.425,120.21,3.5445,0.410
26,LiF,LiF,9.789,80,62.498,4.9101,0.413,62.043,5.0049,0.475,62.608,4.8697,0.378
27,Pb,Pb,18.27,75,43.765,5.404,0.461,43.65,5.4485,0.515,43.93,5.3266,0.406
28,Sn,Sn,16.32,60,43.163,5.5978,0.558,42.999,5.6618,0.606,43.294,5.5385,0.497
29,Mg,Mg,14.00,55,34.499,4.068,0.243,34.308,4.1583,0.287,34.557,4.0404,0.237
30,CsBr,CsBr,47.93,55,21.89,4.0814,0.303,21.687,4.1912,0.456,21.905,4.0533,0.277
31,Ca,Ca,26.13,36,19.568,2.4704,0.497,19.398,2.6078,0.282,19.49,2.5187,0.403
32,Tl,Tl,17.23,34,35.196,5.7517,0.376,35.176,5.7859,0.401,35.276,5.6888,0.349
33,NaCl,NaCl,27.00,31,23.528,5.0863,0.205,23.487,5.1328,0.277,23.569,5.0391,0.145
34,LiI,LiI,32.80,28,33.017,2.419,0.324,32.931,2.5044,0.299,33.016,2.4498,0.320
35,LiBr,LiBr,25.07,24,21.954,4.5944,0.306,21.871,4.6622,0.319,21.903,4.5888,0.282
36,NaBr,NaBr,32.15,24,20.801,4.3812,0.302,20.717,4.4534,0.325,20.812,4.3591,0.295
37,NaI,NaI,40.84,24,19.882,3.8773,0.203,19.787,3.9635,0.217,19.902,3.8588,0.209
38,KF,KF,23.43,24,11.661,5.9797,1.047,11.611,6.0556,1.083,11.78,5.872,0.961
39,RbF,RbF,37.44,24,14.905,4.8695,0.257,14.845,4.9394,0.327,14.966,4.807,0.224
40,LiCl,LiCl,20.60,22,32.67,4.1239,0.430,32.624,4.1689,0.463,32.692,4.104,0.419
41,Li,Li,13.02,20,10.595,3.6187,0.290,10.513,3.7291,0.375,10.577,3.6223,0.287
42,Na,Na,23.71,20,5.918,4.0548,0.255,5.8507,4.1761,0.447,5.9467,4.0141,0.266
43,KI,KI,53.29,18,9.2874,4.6779,0.369,9.2627,4.7381,0.467,9.3119,4.6233,0.335
44,RbI,RbI,59.82,18,9.3695,4.6714,0.290,9.3458,4.7283,0.372,9.428,4.6009,0.264
45,RbBr,RbBr,49.36,16,7.5848,5.0767,0.555,7.4357,5.2328,0.645,7.584,5.035,0.463
46,K,K,45.62,14,3.0158,3.7659,0.166,2.9475,3.9426,0.398,3.0175,3.7514,0.163
47,Rb,Rb,56.08,14,1.9848,4.0094,0.182,1.9123,4.2291,0.504,1.9898,3.9782,0.166
48,NaF,NaF,15.10,14,46.463,3.9869,0.480,46.516,3.9965,0.474,46.501,3.9678,0.480
49,RbCl,RbCl,43.81,12,5.6901,5.8801,0.404,5.6528,5.9551,0.442,5.725,5.7856,0.349
50,Nd,Nd,20.60,10,31.578,4.6967,1.196,31.5473,4.7475,1.209,31.79,4.5397,1.202
