solid,pressure_max_gpa,vinet_k0_gpa,vinet_k0_prime,baonza_k0_gpa,baonza_k0_prime,mrs3_k0_gpa,mrs3_k0_prime,sms3_k0_gpa,sms3_k0_prime,sms4_k0_gpa,sms4_k0_prime
Cu,34,140.95,4.798,141.46,4.572,141.47,4.691,141.47,4.711,141.38,4.722
Mo,60,269.51,3.857,270.55,3.742,267.24,4.077,267.82,4.039,267.32,4.027
W,70,314.99,3.802,313.00,3.833,312.82,3.954,312.40,3.993,312.73,3.949
Zn,16,60.204,5.680,60.615,5.475,60.237,5.715,60.252,5.712,60.298,5.679
Ag,28,105.50,5.564,105.65,5.537,105.32,5.742,105.61,5.695,105.39,5.692
Pt,70,281.42,4.879,282.09,4.954,281.27,5.115,281.18,5.132,281.36,5.100
Ti,22,97.788,3.842,98.005,3.582,97.766,3.680,97.868,3.716,97.806,3.705
Ta,48,197.60,4.012,197.75,3.706,197.68,3.810,197.64,3.809,197.20,3.842
Au,46,184.07,5.029,184.64,4.983,184.74,5.118,184.30,5.165,184.49,5.125
Pd,70,193.37,5.565,196.03,5.016,195.18,5.227,194.94,5.250,195.25,5.209
Zr,20,95.913,2.339,95.614,2.527,95.254,2.691,95.285,2.719,95.173,2.740
Cr,46,190.63,4.586,190.49,4.851,191.54,4.858,190.49,4.979,191.22,4.887
Co,46,196.40,4.145,196.75,4.175,195.97,4.359,196.27,4.359,195.86,4.352
Ni,46,188.32,4.614,188.94,4.610,188.59,4.752,188.35,4.803,188.72,4.730
Nb,38,167.28,3.447,169.99,3.704,168.00,4.093,168.31,4.142,167.90,4.104
Cd,14,50.959,4.704,50.798,5.423,50.767,5.554,50.704,5.592,50.726,5.553
Al,18,74.762,5.036,75.802,4.766,75.416,4.945,75.406,4.956,75.516,4.902
Th,12,52.062,3.920,52.181,4.067,52.112,4.171,52.054,4.215,52.124,4.164
V,36,159.80,3.449,159.99,3.510,159.66,3.626,159.50,3.670,159.82,3.614
In,1,40.064,5.017,40.228,4.913,39.727,5.347,39.946,5.280,39.830,5.289
Be,26,119.97,3.434,120.42,3.429,120.25,3.530,120.16,3.555,120.24,3.520
Pb,12,44.026,4.996,44.223,5.066,44.005,5.277,44.066,5.256,44.117,5.217
Sn,12,43.636,5.338,43.957,5.114,43.841,5.283,43.826,5.296,43.847,5.266
Mg,8,34.527,4.049,34.669,3.834,34.614,3.9626,34.586,3.998,34.612,3.957
Ca,4,19.480,2.532,19.397,2.478,19.336,2.579,19.299,2.632,19.336,2.585
Tl,18,35.268,5.551,35.570,5.404,35.362,5.663,35.336,5.697,35.434,5.613
