measurement_number,temperature_k,au_volume_a3,au_volume_sigma_a3,pressure_a89_gpa,pressure_sigma_gpa,pressure_t03_gpa,a_angstrom,a_sigma_angstrom,b_angstrom,b_sigma_angstrom,c_angstrom,c_sigma_angstrom,volume_a3,volume_sigma_a3
4,1373,61.80,0.03,26.6,0.1,28.1,4.901,0.003,13.482,0.009,8.404,0.005,555.31,0.36
5,1373,61.85,0.04,26.4,0.1,27.9,4.902,0.005,13.485,0.009,8.406,0.006,555.65,0.49
6,1273,61.72,0.04,26.3,0.2,27.7,4.899,0.004,13.478,0.016,8.396,0.006,554.33,0.44
7,1273,61.76,0.03,26.2,0.1,27.5,4.899,0.002,13.482,0.009,8.400,0.003,554.77,0.28
8,1073,61.54,0.04,25.9,0.2,27.2,4.896,0.001,13.469,0.003,8.392,0.002,553.41,0.15
9,873,61.38,0.04,25.4,0.2,26.5,4.893,0.002,13.461,0.006,8.388,0.004,552.43,0.24
10,673,61.21,0.04,25.0,0.1,26.0,4.889,0.002,13.449,0.009,8.381,0.003,551.07,0.27
11,473,61.04,0.03,24.6,0.1,25.4,4.886,0.001,13.439,0.002,8.376,0.002,549.93,0.12
12,300,60.88,0.03,24.3,0.1,25.1,4.882,0.002,13.429,0.003,8.371,0.003,548.75,0.18
13,1373,62.24,0.05,24.8,0.2,26.2,4.916,0.002,13.507,0.005,8.427,0.004,559.56,0.24
14,1273,62.14,0.03,24.6,0.1,25.8,4.912,0.002,13.504,0.01,8.425,0.004,558.86,0.29
15,1073,61.98,0.05,24.0,0.2,25.2,4.909,0.007,13.491,0.009,8.418,0.007,557.50,0.44
16,873,61.82,0.03,23.5,0.1,24.5,4.907,0.002,13.484,0.006,8.412,0.004,556.59,0.26
17,673,61.67,0.04,22.9,0.2,23.8,4.904,0.002,13.482,0.005,8.402,0.004,555.55,0.24
18,473,61.46,0.06,22.6,0.2,23.4,4.900,0.003,13.469,0.008,8.396,0.005,554.06,0.34
19,300,61.28,0.04,22.4,0.1,23.1,4.894,0.001,13.459,0.002,8.392,0.002,552.77,0.12
20,300,61.57,0.04,21.1,0.1,21.7,4.904,0.001,13.485,0.001,8.403,0.001,555.69,0.06
21,300,61.91,0.06,19.6,0.2,20.2,4.912,0.002,13.513,0.005,8.421,0.003,558.95,0.24
22,473,62.14,0.05,19.7,0.2,20.2,4.919,0.002,13.526,0.005,8.425,0.003,560.58,0.23
23,673,62.33,0.06,20.2,0.2,20.9,4.921,0.005,13.538,0.024,8.432,0.009,561.78,0.69
24,873,62.57,0.05,20.4,0.2,21.2,4.928,0.007,13.547,0.009,8.446,0.007,563.85,0.66
25,873,62.51,0.07,20.7,0.2,21.4,4.925,0.009,13.542,0.022,8.446,0.006,563.30,0.87
26,1073,62.74,0.05,21.0,0.2,21.9,4.931,0.007,13.559,0.023,8.448,0.012,564.83,0.8
27,1073,62.79,0.05,20.8,0.2,21.7,4.935,0.005,13.560,0.012,8.450,0.006,565.46,0.46
28,1273,62.85,0.06,21.8,0.2,22.8,4.934,0.005,13.567,0.017,8.451,0.009,565.71,0.61
29,1273,62.87,0.04,21.8,0.2,22.7,4.934,0.004,13.571,0.015,8.455,0.006,566.14,0.51
30,1273,62.98,0.03,21.4,0.1,22.3,4.932,0.004,13.572,0.011,8.456,0.006,566.02,0.48
31,300,61.86,0.02,19.9,0.1,20.4,4.911,0.001,13.511,0.003,8.418,0.002,558.56,0.13
32,300,62.30,0.04,18.0,0.1,18.4,4.925,0.003,13.551,0.005,8.442,0.004,563.41,0.26
33,473,62.49,0.03,18.2,0.1,18.7,4.929,0.003,13.563,0.012,8.446,0.004,564.63,0.43
34,673,62.68,0.03,18.7,0.1,19.4,4.934,0.003,13.570,0.004,8.450,0.004,565.76,0.24
35,873,62.86,0.03,19.3,0.1,20.0,4.937,0.002,13.581,0.006,8.460,0.004,567.20,0.25
36,1073,63.07,0.02,19.7,0.1,20.6,4.944,0.003,13.589,0.005,8.463,0.004,568.58,0.26
37,1073,63.12,0.03,19.6,0.1,20.4,4.942,0.001,13.587,0.002,8.462,0.001,568.20,0.07
38,1273,63.28,0.04,20.2,0.2,21.1,4.945,0.002,13.603,0.003,8.469,0.003,569.68,0.17
39,1073,63.03,0.05,19.9,0.2,20.8,4.943,0.001,13.589,0.002,8.465,0.001,568.60,0.11
40,873,62.86,0.03,19.3,0.1,20.0,4.939,0.001,13.576,0.003,8.461,0.002,567.29,0.14
41,673,62.60,0.05,19.0,0.2,19.7,4.934,0.001,13.571,0.003,8.452,0.002,565.94,0.13
42,473,62.56,0.04,18.0,0.2,18.4,4.932,0.002,13.564,0.003,8.449,0.003,565.22,0.16
43,300,62.39,0.04,17.6,0.2,18.0,4.929,0.002,13.557,0.003,8.447,0.002,564.45,0.12
44,300,62.57,0.04,16.9,0.1,17.2,4.935,0.002,13.577,0.005,8.453,0.003,566.37,0.21
45,300,62.77,0.03,16.1,0.1,16.4,4.942,0.002,13.590,0.006,8.460,0.004,568.19,0.25
46,473,62.98,0.02,16.3,0.1,16.7,4.947,0.002,13.602,0.004,8.464,0.002,569.53,0.18
47,673,63.23,0.06,16.7,0.2,17.1,4.952,0.001,13.616,0.001,8.474,0.001,571.37,0.07
48,873,63.45,0.07,17.1,0.2,17.6,4.958,0.001,13.622,0.003,8.484,0.002,572.99,0.13
49,1073,63.57,0.07,17.9,0.2,18.7,4.961,0.001,13.630,0.003,8.486,0.001,573.81,0.08
50,1273,63.88,0.02,18.1,0.1,18.9,4.964,0.001,13.653,0.002,8.497,0.001,575.82,0.11
51,300,62.91,0.02,15.5,0.1,15.8,4.947,0.001,13.602,0.003,8.470,0.003,569.93,0.17
52,300,63.41,0.04,13.6,0.2,13.8,4.961,0.002,13.639,0.004,8.495,0.003,574.77,0.2
53,473,63.65,0.01,13.8,0.1,14.0,4.964,0.001,13.658,0.002,8.500,0.002,576.29,0.09
54,673,63.88,0.01,14.3,0.1,14.6,4.971,0.001,13.669,0.003,8.507,0.001,577.95,0.12
55,873,64.14,0.05,14.6,0.2,15.0,4.980,0.002,13.685,0.004,8.517,0.003,580.48,0.2
56,300,64.02,0.01,11.4,0.1,11.4,4.983,0.001,13.696,0.002,8.527,0.002,581.86,0.1
57,473,64.33,0.04,11.4,0.2,11.5,4.988,0.004,13.712,0.011,8.533,0.006,583.67,0.42
58,673,64.53,0.04,12.1,0.1,12.3,4.993,0.005,13.726,0.016,8.542,0.007,585.37,0.6
59,873,64.77,0.03,12.6,0.1,12.9,4.998,0.003,13.733,0.006,8.546,0.004,586.55,0.27
60,300,64.10,0.06,11.1,0.2,11.1,4.986,0.003,13.699,0.005,8.532,0.004,582.75,0.26
