d_observed_angstrom,relative_intensity,d_calculated_angstrom,phase_code,h,k,l,fluorescence_code
2.8838,3,2.8841,1,1,2,2,0
2.6375,4,2.6374,1,1,4,1,0
2.6019,7,2.6018,1,1,3,2,0
2.5689,5,2.5679,1,0,5,1,0
2.4317,3,2.4326,1,1,0,3,0
2.3444,3,2.3454,3,1,1,1,0
2.2832,16,2.2832,2,1,1,1,0
2.1970,23,,4,1,1,1,0
2.1374,3,2.1394,1,1,3,3,0
2.0852,2,2.0847,1,2,3,1,0
2.0330,8,2.0311,3,2,0,0,0
1.9777,12,1.9773,2,2,0,0,0
1.9208,5,,2,,,,1
1.8963,13,,4,2,0,0,0
1.8692,6,,2,,,,2
1.8044,5,1.8063,1,1,5,3,0
1.7171,3,,0,,,,0
1.6495,7,,2,,,,3
1.6058,6,,2,,,,4
1.5292,6,,0,,,,0
1.4355,6,1.4362,3,2,2,0,0
1.4127,3,1.4116,1,3,0,3,0
1.4047,2,1.4010,1,0,0,6,0
1.3986,5,1.3982,2,2,2,0,0
1.3451,100,,4,2,2,0,0
1.2244,2,1.2248,3,3,1,1,0
1.1915,5,1.1924,2,3,1,1,0
1.1463,100,,4,3,1,1,0
1.1414,4,1.1416,2,2,2,2,0
1.0964,75,,4,2,2,2,0
