pressure_gpa,pressure_calibrant,a_a,molar_volume_cm3_mol,volume_ratio
8.23,1,3.279,10.6187,0.9773
13.11,1,3.229,10.1407,0.9333
21.82,1,3.2043,9.9096,0.9121
31.5,1,3.1677,9.574,0.8812
41.67,1,3.1176,9.1269,0.84
47.46,2,3.1156,9.1093,0.8384
55.96,2,3.09,8.8868,0.8179
57.07,2,3.0854,8.847,0.8143
93.7,2,2.9989,8.1236,0.7477
99.74,2,2.9847,8.0087,0.7371
110.66,2,2.9639,7.8425,0.7218
113.88,2,2.9573,7.7901,0.717
123.95,2,2.9361,7.6239,0.7017
137.0,2,2.9126,7.4423,0.685
137.88,2,2.9125,7.4415,0.6849
144.08,2,2.9046,7.3811,0.6793
144.08,2,2.9002,7.3476,0.6763
153.45,2,2.8825,7.2139,0.664
157.95,2,2.8824,7.2133,0.6639
174.23,2,2.8665,7.0894,0.6525
