ruby_pressure_classical_gpa,ruby_pressure_revised_gpa,atomic_volume_a3,atomic_volume_uncertainty_a3
2.27,2.27,17.838,0.01
3.43,3.44,17.704,0.01
4.99,5.0,17.585,0.01
6.74,6.76,17.436,0.01
7.84,7.87,17.354,0.01
9.24,9.28,17.243,0.01
10.59,10.6,17.140,0.01
12.04,12.1,17.026,0.01
13.49,13.6,16.942,0.01
15.04,15.2,16.833,0.01
16.14,16.3,16.751,0.01
17.39,17.5,16.662,0.01
19.14,19.3,16.557,0.01
20.79,21.0,16.449,0.01
22.39,22.6,16.353,0.01
23.99,24.3,16.263,0.01
26.24,26.6,16.129,0.01
27.89,28.3,16.036,0.01
30.05,30.5,15.914,0.01
1.14,1.14,17.933,0.01
0.0,0.0,18.034,0.01
52.5,53.8,14.814,0.01
58.7,60.3,14.554,0.01
65.5,67.4,14.266,0.01
70.0,72.2,14.143,0.01
90.0,93.6,13.449,0.01
31.0,31.5,15.843,0.01
36.2,36.8,15.585,0.01
39.5,40.2,15.415,0.01
45.3,46.2,15.135,0.01
50.2,51.4,14.919,0.01
55.3,56.8,14.693,0.01
66.5,68.5,14.257,0.01
74.1,76.6,13.998,0.01
79.9,82.8,13.795,0.01
85.7,89.0,13.633,0.01
