run,pressure_gauge,pressure_gpa,lattice_a_angstrom,lattice_c_angstrom
1,ruby,12.3,4.470,2.747
1,ruby,14.6,4.447,2.733
1,ruby,17.7,4.416,2.722
1,ruby,19.9,4.396,2.712
1,ruby,21.4,4.384,2.703
1,ruby,24.1,4.358,2.693
1,ruby,27.3,4.327,2.683
1,ruby,30.4,4.305,2.671
1,ruby,36.1,4.271,2.649
1,ruby,33.6,4.289,2.657
1,ruby,4,4.569,2.802
1,ruby,1.29,4.604,2.820
1,ruby,0,4.621,2.828
2,ruby,49.1,4.174,2.603
2,ruby,54.9,4.135,2.586
2,ruby,63.2,4.096,2.563
2,ruby,69.2,4.072,2.548
2,ruby,74.6,4.051,2.536
2,ruby,79.3,4.025,2.523
2,ruby,85.4,4.006,2.513
2,ruby,91.4,3.984,2.499
2,ruby,97.5,3.965,2.485
2,ruby,103.8,3.944,2.473
2,ruby,109.4,3.930,2.453
3,tungsten,20.5,4.387,2.706
3,tungsten,26.6,4.347,2.681
3,tungsten,30.5,4.313,2.668
3,tungsten,39.8,4.247,2.633
3,tungsten,48.6,4.199,2.607
3,tungsten,53.4,4.170,2.591
3,tungsten,60.6,4.130,2.571
3,tungsten,66.3,4.010,2.560
3,tungsten,70.8,4.077,2.550
3,tungsten,76.3,4.054,2.536
3,tungsten,85.9,4.014,2.514
3,tungsten,90.6,3.999,2.504
3,tungsten,96.5,3.977,2.488
3,tungsten,99.8,3.966,2.476
3,tungsten,108,3.946,2.462
3,tungsten,111,3.931,2.447
3,tungsten,115,3.920,2.435
