pixel_x,pixel_y,temperature_k,pressure_gpa,relative_volume,relative_volume_digitization_bound
188,358.5,300,0.50434783,1.00181818,0.00034632
188,307,450,0.50434783,1.00776335,0.00034632
188,234,700,0.50434783,1.01619048,0.00034632
188,185.5,900,0.50434783,1.02178932,0.00034632
188,163.5,1000,0.50434783,1.024329,0.00034632
450,594.5,300,5.06086957,0.97457431,0.00034632
450,555.5,450,5.06086957,0.97907648,0.00034632
450,503.5,700,5.06086957,0.98507937,0.00034632
450,472.5,900,5.06086957,0.98865801,0.00034632
450,461.5,1000,5.06086957,0.98992785,0.00034632
530,659,300,6.45217391,0.96712843,0.00034632
530,623,450,6.45217391,0.97128427,0.00034632
530,575.5,700,6.45217391,0.97676768,0.00034632
530,550,900,6.45217391,0.9797114,0.00034632
530,541,1000,6.45217391,0.98075036,0.00034632
675,769,300,8.97391304,0.95443001,0.00034632
675,737,450,8.97391304,0.9581241,0.00034632
675,697.5,700,8.97391304,0.96268398,0.00034632
675,679,900,8.97391304,0.96481962,0.00034632
675,674,1000,8.97391304,0.96539683,0.00034632
812,864.5,300,11.35652174,0.94340548,0.00034632
812,836.5,450,11.35652174,0.94663781,0.00034632
812,804.5,700,11.35652174,0.95033189,0.00034632
812,789,1000,11.35652174,0.95212121,0.00034632
