series,pixel_x,pixel_y,temperature_nominal_k,temperature_selection_half_width_k,pressure_gpa,relative_volume,pressure_digitization_bound_gpa,relative_volume_digitization_bound
filled,239,405,300,20,1.39130435,0.99645022,0.05217391,0.00034632
filled,304,443,300,20,2.52173913,0.99206349,0.05217391,0.00034632
filled,363,520,300,20,3.54782609,0.9831746,0.05217391,0.00034632
filled,440,557,300,20,4.88695652,0.97890332,0.05217391,0.00034632
filled,571,678,300,20,7.16521739,0.96493506,0.05217391,0.00034632
filled,756,836,300,20,10.3826087,0.94669553,0.05217391,0.00034632
filled,254,384,450,20,1.65217391,0.99887446,0.05217391,0.00034632
filled,308,414,450,20,2.59130435,0.99541126,0.05217391,0.00034632
filled,586,655,450,20,7.42608696,0.96759019,0.05217391,0.00034632
filled,770,803,450,20,10.62608696,0.95050505,0.05217391,0.00034632
filled,299,346,700,20,2.43478261,1.00326118,0.05217391,0.00034632
filled,315,369,700,20,2.71304348,1.00060606,0.05217391,0.00034632
filled,395,475,700,20,4.10434783,0.98836941,0.05217391,0.00034632
filled,615,646,700,20,7.93043478,0.96862915,0.05217391,0.00034632
filled,780,784,700,20,10.8,0.95269841,0.05217391,0.00034632
filled,298,317,900,20,2.4173913,1.00660895,0.05217391,0.00034632
filled,307,325,900,20,2.57391304,1.00568543,0.05217391,0.00034632
filled,496,522,900,20,5.86086957,0.98294372,0.05217391,0.00034632
filled,502,514,900,20,5.96521739,0.98386724,0.05217391,0.00034632
filled,635,644,900,20,8.27826087,0.96886003,0.05217391,0.00034632
filled,769,758,900,20,10.60869565,0.95569986,0.05217391,0.00034632
filled,201,160,1000,20,0.73043478,1.02473304,0.05217391,0.00034632
filled,299,283,1000,20,2.43478261,1.01053391,0.05217391,0.00034632
filled,298,302,1000,20,2.4173913,1.00834055,0.05217391,0.00034632
filled,384,388,1000,20,3.91304348,0.9984127,0.05217391,0.00034632
filled,493,494,1000,20,5.80869565,0.98617605,0.05217391,0.00034632
filled,500,501,1000,20,5.93043478,0.98536797,0.05217391,0.00034632
filled,635,636,1000,20,8.27826087,0.96978355,0.05217391,0.00034632
filled,751,731,1000,20,10.29565217,0.95881674,0.05217391,0.00034632
cited_ming_1978,242,390,300,0,1.44347826,0.99818182,0.05217391,0.00034632
cited_ming_1978,331,477,300,0,2.99130435,0.98813853,0.05217391,0.00034632
cited_ming_1978,340,504,300,0,3.14782609,0.98502165,0.05217391,0.00034632
cited_ming_1978,360,512,300,0,3.49565217,0.98409812,0.05217391,0.00034632
cited_ming_1978,406,555,300,0,4.29565217,0.9791342,0.05217391,0.00034632
cited_ming_1978,424,572,300,0,4.60869565,0.97717172,0.05217391,0.00034632
cited_ming_1978,475,625,300,0,5.49565217,0.97105339,0.05217391,0.00034632
cited_ming_1978,562,696,300,0,7.00869565,0.96285714,0.05217391,0.00034632
cited_ming_1978,648,756,300,0,8.50434783,0.95593074,0.05217391,0.00034632
cited_ming_1978,718,782,300,0,9.72173913,0.95292929,0.05217391,0.00034632
recovered_anchor,159,332,300,0,0.0,1.00487734,0.05217391,0.00034632
