observation_index,au_volume_a3,au_volume_standard_error_a3,mgo_volume_a3,mgo_volume_standard_error_a3
1,61.475390,0.122350,66.936700,0.031360
2,61.393730,0.109220,66.783890,0.020070
3,61.233160,0.140850,66.588350,0.086920
4,60.752000,0.095190,66.055710,0.110000
5,62.000000,0.110000,67.462000,0.080000
6,62.203570,0.073130,67.780980,0.060000
7,60.272390,0.071770,65.200400,0.030000
8,60.908160,0.052350,66.175390,0.130000
9,60.801780,0.140000,66.046900,0.073650
10,57.467650,0.034270,61.749270,0.068560
11,56.901770,0.049250,60.924600,0.070010
12,56.532750,0.037530,60.516440,0.047140
13,56.351800,0.059520,60.331430,0.062400
14,56.004340,0.076670,59.976190,0.059770
15,55.100000,0.083760,58.735760,0.070430
16,55.746000,0.072970,59.384220,0.074770
17,55.524120,0.041420,59.110370,0.087360
18,55.380000,0.048590,58.911590,0.045790
19,54.500000,0.068140,57.765860,0.094290
20,54.750000,0.065570,58.311690,0.068730
21,55.020000,0.050430,58.483990,0.069440
22,51.934580,0.066230,54.515170,0.066420
23,51.797370,0.057530,54.251760,0.024390
24,50.679870,0.052080,52.857190,0.018820
25,50.526740,0.051840,52.682470,0.062270
26,50.436850,0.053330,52.567160,0.048970
27,50.380000,0.056290,52.360250,0.028760
28,50.050990,0.052670,51.955250,0.010510
