observation_index,pt_volume_a3,pt_volume_standard_error_a3,mgo_volume_a3,mgo_volume_standard_error_a3
1,57.165560,0.149670,68.261520,0.174160
2,56.960840,0.047180,67.895850,0.063990
3,56.591630,0.066900,67.280840,0.108210
4,56.113240,0.040110,66.250390,0.158330
5,56.210510,0.075050,66.492140,0.129750
6,55.345310,0.080730,64.841960,0.051170
7,56.700830,0.073870,67.290390,0.090000
8,56.314750,0.117590,66.688690,0.035000
9,55.954030,0.042190,66.098610,0.071690
10,56.074540,0.035700,66.264040,0.077390
11,56.248790,0.026030,66.425830,0.072450
12,56.349080,0.045320,66.807280,0.101280
13,54.484540,0.048390,63.319670,0.012360
14,54.132910,0.076770,62.591900,0.024910
15,53.927840,0.020000,62.291270,0.041220
16,54.175320,0.051540,62.568530,0.015250
17,53.915770,0.070000,62.266780,0.016280
18,53.966010,0.047600,62.337480,0.066480
19,54.058450,0.061180,62.514370,0.052880
20,53.940140,0.109860,62.297430,0.016020
21,53.929050,0.057120,62.275070,0.013340
22,53.643730,0.014680,61.812580,0.068630
23,53.850470,0.027400,62.082150,0.036210
24,53.755210,0.053790,61.896460,0.045100
25,53.608340,0.080510,61.683620,0.003550
26,52.872960,0.048340,60.461930,0.026390
27,52.300000,0.019800,59.687070,0.048200
28,52.532590,0.029620,59.893160,0.042880
29,51.820000,0.028250,58.855600,0.036070
30,51.827770,0.065700,58.755750,0.042300
31,51.728250,0.023610,58.615110,0.034720
32,53.147420,0.089900,61.070610,0.042700
33,53.247470,0.050680,61.025880,0.013490
34,50.374960,0.062090,56.304550,0.041900
35,49.610000,0.045650,55.221150,0.051160
36,49.200000,0.063830,54.564860,0.062850
37,48.348500,0.025160,53.134230,0.028640
38,48.012070,0.048010,52.529360,0.075830
39,47.172460,0.037820,51.277190,0.048210
