pressure_gpa,temperature_k,volume_a3_conventional_cell
41.37516291,2057,64.56854
41.71093988,2096,64.60388
47.88075529,1802,62.80303
50.90023049,2145,62.69505
50.86704827,2110,62.6988
50.45682627,1979,62.63783
48.98974829,1742,62.62182
48.86750535,1595,62.52542
49.6872396,1670,62.55048
51.99485198,2053,62.57644
51.92906982,2020,62.51457
52.16793163,1998,62.42981
50.34342106,1551,62.04102
50.52547988,1587,62.07086
59.6592376,1796,60.76656
59.53928844,1743,60.74062
59.75780682,1716,60.71679
60.78785707,1922,60.73105
60.55310021,1833,60.6927
62.56741917,2058,60.6678
63.20368819,2167,60.65631
63.86717277,2285,60.67144
65.75072256,1679,59.71097
65.85928693,1673,59.70906
66.81854273,1790,59.70159
67.46043073,1886,59.69156
66.96968512,1818,59.68053
69.84174668,2080,59.59351
70.6522661,1663,58.78363
70.64880233,1723,58.87175
70.84310586,1716,58.89607
73.11835371,1813,58.66939
73.88999462,1902,58.6721
74.16755503,1928,58.66759
74.30107437,1953,58.67318
73.96245002,1938,58.66582
53.95098064,1610,61.33444
54.74935954,1661,61.35326
54.26085763,1634,61.36699
55.3864729,1799,61.37567
56.13376638,1782,61.3465
59.33276167,1908,60.98817
56.38785889,1669,61.05
56.49449771,1671,61.05216
87.45841209,1874.5,56.7237
86.86689076,1858,56.65092
87.58922888,1946,56.66807
86.77335005,1741,56.63949
87.78718626,1820,56.63285
88.78010681,1898,56.5763
90.83450173,2150,56.55073
90.37899291,2094,56.55431
114.576959,1837.5,53.529
113.9071608,1795,53.56
112.7713165,1708.5,53.565
115.6758097,1738,53.25338
115.8138352,1659,53.27556
114.1272801,1546,53.28286
114.8313392,1929,53.48858
115.2893545,1903,53.46876
115.3920692,2020,53.50223
115.1373057,1958,53.51895
129.0767343,1844,51.86298
128.0202043,1760,51.8548
132.084514,2130,51.90277
136.2167141,2188,51.54471
136.8398754,2245,51.51347
138.1038586,2505,51.54235
136.4392407,2051,51.47999
0.0001,298,74.68216539
0.0001,455,75.06077715
0.0001,710,75.79475257
0.0001,905,76.68681501
0.0001,1096,77.19096646
0.0001,1205,77.6738625
0.0001,1305,77.88110262
0.0001,1365,78.06243773
0.0001,1527,78.52407838
0.0001,1598,79.09730986
0.0001,1685,79.47924278
0.0001,1870,80.01262039
0.0001,1915,80.30554633
0.0001,2055,81.03686483
0.0001,2106,81.22683494
0.0001,2245,81.89903686
0.0001,2297,82.21853205
0.0001,2395,82.63101959
0.0001,2408,82.68814347
0.0001,2592,83.69976752
0.0001,2703,84.28229824
0.0001,2785,84.70275656
0.0001,2848,85.03022252
0.0001,2912,85.43407506
0.0001,2986,85.84789107
0.0001,298,74.618461
0.0001,421,74.9379497
0.0001,505,75.25834905
0.0001,591,75.47245518
0.0001,694,75.79437517
0.0001,790,76.06334005
0.0001,874,76.44095878
0.0001,964,76.71145025
0.0001,1052,77.14556259
