volume_a3_conventional_cell,shock_pressure_gpa,particle_velocity_m_s
37.31231664,653.4,3422
37.17849632,659.3,3444
39.75157629,433.4,2633
42.85135528,279.3,1958
43.08932336,263.6,1885
38.59940817,533.3,3005
44.36394591,218.9,1652
56.01686548,28.018,316
55.48912865,29.924,339
54.3487179,40.09,441
53.99992216,42.408,460
53.9729312,43.331,466
52.4990735,56.563,596
51.94973067,64.285,650
51.30997593,71.952,713
47.78838769,128.217,1120
47.8713659,129.528,1122
47.50282763,132.193,1150
45.24694923,189.539,1492
44.50565455,204.846,1580
44.47510322,204.704,1581
44.29267244,222.114,1665
43.59526737,235.5,1751
42.90527241,251.444,1806
42.74815691,250.786,1812
42.67494837,262.649,1899
42.68619489,271.514,1921
42.47908904,270.613,1929
41.91435006,292.002,2040
41.21968864,308.783,2140
40.79404773,337.4,2260
40.58323568,336.301,2270
40.54260293,368.927,2380
39.39745005,379.287,2480
39.43101857,382.953,2490
39.84692433,399.087,2520
39.30900777,415.68,2600
38.97323545,427.158,2660
39.07901961,442.264,2700
38.61666316,444.287,2730
38.70548217,447.641,2740
38.20788265,483.481,2880
37.8806131,483.108,2900
38.08099839,494.809,2920
38.16736766,537.715,3040
37.74709078,542.402,3080
36.94212944,557.706,3180
37.12417294,562.741,3180
37.40386607,572.454,3190
37.22014512,589.493,3250
37.34242456,604.358,3280
36.709789,620.941,3370
36.84548829,658.305,3460
36.01495684,641.058,3480
36.71915136,663.832,3490
36.79840207,666.074,3490
36.31472822,655.029,3490
35.90020868,654.314,3520
35.99294831,682.402,3590
40.08252006,392,2479
38.76624218,487,2852
40.1547405,408,2523
44.44022729,210,1606
40.18959389,398,2492
38.86155717,497,2874
43.59602762,247,1789
37.5214573,640,3360
37.80185784,612,3266
