run,ruby_pressure_mao_gpa,atomic_volume_a3
4,0,15.2125
4,1.5,14.8719
4,2.6,14.6605
4,5.1,14.1771
4,7.8,13.7923
4,8.8,13.6458
4,11.4,13.3401
4,13.0,13.1352
4,15.2,12.9185
4,18.3,12.6593
5,3.5,14.4649
5,6.7,13.9492
5,10.2,13.4697
5,13.6,13.1401
5,16.3,12.8421
5,20.3,12.4976
5,26.4,12.0501
5,30.7,11.8052
5,35.5,11.5185
5,40.6,11.2621
5,45.5,11.031
5,50.2,10.8351
5,54.8,10.64
5,58.5,10.5198
5,63.4,10.3593
6,12.8,13.1408
6,24.7,12.1386
6,37.5,11.4242
6,49.0,10.814
6,63.2,10.355
6,72.7,10.099
6,81.3,9.8573
6,89.0,9.7164
6,94.1,9.5624
6,101.2,9.4104
6,109.7,9.2178
6,110,9.2116
6,114,9.1208
6,121.8,8.9973
6,127.5,8.8927
6,134.5,8.7828
6,140.4,8.6844
6,147.4,8.5792
