pressure_gpa,specific_volume_a3_per_formula_unit,volume_a3_conventional_cell,pressure_precision_gpa,pressure_digitization_uncertainty_gpa,specific_volume_digitization_uncertainty_a3,volume_digitization_uncertainty_a3_conventional_cell
2.857,19.22951,76.91803,0.100,0.102,0.02459,0.09836
4.769,19.11869,76.47475,0.100,0.102,0.02459,0.09836
6.027,18.96393,75.85574,0.100,0.102,0.02459,0.09836
8.150,18.80590,75.22361,0.100,0.102,0.02459,0.09836
8.246,18.70754,74.83016,0.100,0.102,0.02459,0.09836
8.476,18.72230,74.88918,0.100,0.102,0.02459,0.09836
8.615,18.69016,74.76066,0.100,0.102,0.02459,0.09836
8.912,18.71475,74.85902,0.100,0.102,0.02459,0.09836
8.939,18.66885,74.67541,0.100,0.102,0.02459,0.09836
9.224,18.63279,74.53115,0.100,0.102,0.02459,0.09836
9.444,18.63574,74.54295,0.100,0.102,0.02459,0.09836
9.517,18.58852,74.35410,0.100,0.102,0.02459,0.09836
9.728,18.61639,74.46557,0.100,0.102,0.02459,0.09836
9.850,18.59672,74.38689,0.100,0.102,0.02459,0.09836
10.004,18.55016,74.20066,0.100,0.102,0.02459,0.09836
10.248,18.68033,74.72131,0.100,0.102,0.02459,0.09836
10.395,18.61639,74.46557,0.100,0.102,0.02459,0.09836
10.680,18.63607,74.54426,0.100,0.102,0.02459,0.09836
10.830,18.63934,74.55738,0.100,0.102,0.02459,0.09836
11.086,18.73836,74.95344,0.100,0.102,0.02459,0.09836
