pressure_gpa,specific_volume_a3_per_formula_unit,volume_a3_conventional_cell,pressure_precision_gpa,pressure_digitization_uncertainty_gpa,specific_volume_digitization_uncertainty_a3,volume_digitization_uncertainty_a3_conventional_cell
0.889,23.67300,47.34601,0.100,0.119,0.02852,0.05703
1.073,23.61901,47.23802,0.100,0.119,0.02852,0.05703
1.127,23.69506,47.39011,0.100,0.119,0.02852,0.05703
2.413,23.43726,46.87452,0.100,0.119,0.02852,0.05703
2.857,23.32319,46.64639,0.100,0.119,0.02852,0.05703
4.695,23.09087,46.18175,0.100,0.119,0.02852,0.05703
6.079,22.82890,45.65779,0.100,0.119,0.02852,0.05703
7.127,22.67681,45.35361,0.100,0.119,0.02852,0.05703
7.557,22.63422,45.26844,0.100,0.119,0.02852,0.05703
7.937,22.50190,45.00380,0.100,0.119,0.02852,0.05703
8.238,22.52471,45.04943,0.100,0.119,0.02852,0.05703
8.476,22.52471,45.04943,0.100,0.119,0.02852,0.05703
8.937,22.57034,45.14068,0.100,0.119,0.02852,0.05703
9.222,22.55513,45.11027,0.100,0.119,0.02852,0.05703
9.508,22.48669,44.97338,0.100,0.119,0.02852,0.05703
9.719,22.67224,45.34449,0.100,0.119,0.02852,0.05703
10.000,22.49810,44.99620,0.100,0.119,0.02852,0.05703
