crystal,sequence,pressure_kbar,pressure_uncertainty_kbar,a_a,a_sigma_a,c_a,c_sigma_a,volume_a3,volume_sigma_a3
1,before_pressure,0.00101325,,6.6042,0.0004,5.9796,0.0003,260.8,0.03
1,compression,9.8,0.5,6.5927,0.0004,5.9742,0.0003,259.66,0.02
1,compression,28.9,0.5,6.5737,0.0004,5.9638,0.0005,257.72,0.03
2,compression,10.0,1.0,6.5942,0.0004,5.974,0.0001,259.77,0.02
2,compression,17.4,0.5,6.5849,0.0003,5.9693,0.0001,258.83,0.02
2,compression,23.2,0.5,6.5808,0.0003,5.967,0.0001,258.37,0.02
2,compression,37.1,0.5,6.565,0.0003,5.9583,0.0005,256.8,0.03
2,before_data,42.0,0.5,6.5592,0.0004,5.9553,0.0005,256.22,0.03
2,after_data,42.0,0.5,6.5587,0.0005,5.9551,0.0004,256.17,0.04
2,compression,48.1,0.5,6.5531,0.0003,5.9519,0.0002,255.59,0.02
2,after_pressure,0.00101325,,6.6027,0.0009,5.9776,0.0005,260.62,0.05
