cell,pressure_calibrant,calibrant_atomic_volume_a3,calibrant_atomic_volume_uncertainty_a3,pressure_gpa,pressure_uncertainty_gpa,lattice_a_angstrom,lattice_a_uncertainty_angstrom,lattice_c_angstrom,lattice_c_uncertainty_angstrom,atomic_volume_a3,atomic_volume_uncertainty_a3
DAC3,Al,16.598,0.001,0.01,0.06,3.234,0.001,5.148,0.003,23.32,0.02
DAC3,Al,16.602,0.002,0.0,0.1,3.234,0.001,5.147,0.003,23.31,0.02
DAC3,Al,16.391,0.001,0.97,0.06,3.225,0.001,5.132,0.003,23.12,0.02
DAC3,Al,16.344,0.001,1.19,0.06,3.223,0.001,5.129,0.003,23.08,0.02
DAC3,Al,16.194,0.001,1.94,0.07,3.215,0.001,5.123,0.003,22.94,0.02
DAC3,Al,16.084,0.001,2.52,0.08,3.209,0.001,5.112,0.004,22.80,0.02
DAC3,Al,15.786,0.001,4.18,0.07,3.190,0.001,5.079,0.002,22.38,0.01
DAC3,Al,15.640,0.002,5.0,0.1,3.182,0.001,5.073,0.004,22.24,0.02
DAC3,Al,15.365,0.002,6.8,0.2,3.164,0.001,5.049,0.005,21.88,0.03
DAC3,Al,14.764,0.001,11.3,0.2,3.121,0.001,5.024,0.006,21.19,0.03
DAC4,Al,16.31,0.02,1.37,0.08,3.224,0.001,5.131,0.002,23.09,0.01
DAC4,Al,16.07,0.03,2.6,0.2,3.216,0.001,5.121,0.002,22.94,0.01
DAC4,Al,15.970,0.008,3.13,0.06,3.207,0.001,5.106,0.002,22.73,0.01
DAC4,Al,15.735,0.013,4.48,0.1,3.194,0.001,5.089,0.002,22.48,0.01
DAC4,Al,15.431,0.004,6.38,0.1,3.172,0.001,5.061,0.002,22.05,0.01
DAC5,Al,16.420,0.007,0.83,0.04,3.225,0.001,5.135,0.004,23.13,0.02
DAC5,Al,16.416,0.008,0.85,0.04,3.225,0.001,5.133,0.004,23.12,0.02
DAC5,Al,16.414,0.008,0.86,0.04,3.225,0.001,5.136,0.004,23.12,0.02
DAC5,Al,16.404,0.008,0.91,0.04,3.225,0.001,5.130,0.004,23.10,0.02
DAC5,Al,16.394,0.007,0.95,0.04,3.224,0.001,5.134,0.004,23.12,0.02
DAC5,Al,16.383,0.008,1.00,0.04,3.224,0.001,5.135,0.004,23.12,0.02
DAC5,Al,16.372,0.008,1.06,0.04,3.224,0.001,5.135,0.004,23.11,0.02
DAC5,Al,16.359,0.009,1.12,0.04,3.223,0.001,5.136,0.005,23.10,0.02
DAC5,Al,16.343,0.008,1.20,0.04,3.223,0.001,5.132,0.004,23.08,0.02
DAC5,Al,16.328,0.008,1.27,0.04,3.222,0.001,5.134,0.004,23.08,0.02
DAC5,Al,16.308,0.008,1.37,0.04,3.221,0.001,5.133,0.004,23.06,0.02
DAC5,Al,16.283,0.008,1.49,0.05,3.220,0.001,5.132,0.004,23.04,0.02
DAC5,Al,16.257,0.008,1.62,0.05,3.219,0.001,5.129,0.004,23.02,0.02
DAC5,Al,16.229,0.008,1.76,0.05,3.218,0.001,5.128,0.004,22.99,0.02
DAC5,Al,16.210,0.008,1.86,0.05,3.217,0.001,5.129,0.004,22.99,0.02
DAC5,Al,16.192,0.009,1.95,0.05,3.217,0.001,5.127,0.004,22.97,0.02
DAC5,Al,16.176,0.008,2.04,0.05,3.215,0.001,5.126,0.004,22.95,0.02
DAC5,Al,16.152,0.009,2.16,0.06,3.214,0.001,5.125,0.005,22.92,0.02
