cell,pressure_calibrant,calibrant_atomic_volume_a3,calibrant_atomic_volume_uncertainty_a3,pressure_gpa,pressure_uncertainty_gpa,lattice_a_angstrom,lattice_a_uncertainty_angstrom,atomic_volume_a3,atomic_volume_uncertainty_a3
DAC1,Bi,22.12,0.02,37.3,0.3,3.269,0.003,17.46,0.05
DAC1,Bi,21.61,0.01,42.4,0.3,3.237,0.002,16.96,0.03
DAC1,Bi,20.63,0.02,54.0,0.4,3.181,0.003,16.10,0.04
DAC1,Bi,20.62,0.02,54.1,0.5,3.181,0.003,16.10,0.05
DAC1,Bi,20.29,0.01,58.6,0.4,3.158,0.002,15.75,0.03
DAC1,Bi,19.97,0.02,63.4,0.5,3.141,0.003,15.50,0.04
DAC1,Bi,19.60,0.02,69.2,0.5,3.119,0.002,15.16,0.04
DAC1,Bi,19.42,0.02,72.3,0.5,3.108,0.002,15.02,0.03
DAC1,Bi,19.18,0.02,76.6,0.5,3.093,0.003,14.80,0.04
DAC1,Bi,18.97,0.02,80.5,0.5,3.081,0.003,14.63,0.04
DAC1,Bi,18.79,0.02,84.3,0.6,3.070,0.003,14.47,0.04
DAC1,Bi,18.75,0.02,85.0,0.5,3.067,0.002,14.43,0.03
DAC1,Bi,18.65,0.02,87.1,0.5,3.061,0.002,14.34,0.03
DAC1,Bi,18.57,0.01,88.8,0.5,3.056,0.002,14.27,0.02
DAC1,Bi,18.48,0.02,90.7,0.6,3.050,0.002,14.19,0.03
DAC1,Bi,18.27,0.01,95.5,0.5,3.038,0.002,14.01,0.02
DAC1,Bi,18.13,0.01,98.7,0.5,3.029,0.002,13.90,0.02
DAC1,Bi,17.99,0.02,102.2,0.6,3.020,0.002,13.77,0.02
DAC1,Bi,17.77,0.01,107.7,0.5,3.007,0.002,13.59,0.02
DAC1,Bi,17.53,0.01,114.1,0.5,2.990,0.002,13.37,0.02
DAC1,Bi,17.29,0.01,121.1,0.5,2.976,0.002,13.17,0.02
DAC1,Bi,17.13,0.01,125.8,0.5,2.963,0.002,13.01,0.02
DAC1,Bi,16.88,0.01,133.5,0.5,2.949,0.001,12.82,0.02
DAC1,Bi,16.76,0.02,137.7,0.6,2.940,0.002,12.71,0.03
DAC1,Bi,16.53,0.01,145.6,0.6,2.924,0.002,12.50,0.02
DAC1,Bi,16.29,0.01,154.6,0.6,2.907,0.002,12.28,0.02
DAC3,Al,12.712,0.007,35.3,0.6,3.276,0.001,17.573,0.004
DAC3,Al,12.521,0.006,38.5,0.7,3.257,0.001,17.282,0.003
DAC3,Al,12.390,0.006,40.8,0.7,3.243,0.001,17.057,0.003
DAC3,Al,12.202,0.006,44.3,0.8,3.222,0.001,16.712,0.003
DAC3,Al,12.088,0.006,46.6,0.8,3.212,0.001,16.565,0.003
DAC3,Al,11.961,0.005,49.2,0.9,3.197,0.001,16.334,0.003
DAC3,Al,11.883,0.006,50.8,0.9,3.188,0.001,16.205,0.003
DAC4,Al,12.635,0.006,36.2,0.6,3.265,0.001,17.397,0.008
DAC4,Al,12.419,0.006,39.9,0.7,3.243,0.001,17.058,0.006
DAC4,Al,12.318,0.005,41.8,0.7,3.233,0.001,16.898,0.009
DAC4,Al,12.194,0.006,44.1,0.8,3.229,0.001,16.687,0.006
DAC4,Al,12.019,0.005,47.6,0.9,3.203,0.001,16.437,0.005
DAC4,Al,11.841,0.007,51.3,0.9,3.185,0.001,16.161,0.006
DAC2,Bi,20.28,0.01,58.8,0.4,3.158,0.002,15.75,0.03
DAC2,Bi,20.13,0.02,60.8,0.4,3.148,0.002,15.60,0.03
DAC2,Bi,19.51,0.01,70.7,0.4,3.115,0.002,15.11,0.03
DAC2,Bi,19.27,0.02,75.0,0.6,3.099,0.002,14.88,0.03
DAC2,Bi,18.89,0.02,82.1,0.6,3.076,0.001,14.55,0.02
DAC2,Bi,18.79,0.02,84.2,0.5,3.070,0.002,14.46,0.03
