cell,pressure_calibrant,calibrant_atomic_volume_a3,calibrant_atomic_volume_uncertainty_a3,pressure_gpa,pressure_uncertainty_gpa,lattice_a_angstrom,lattice_a_uncertainty_angstrom,lattice_c_angstrom,lattice_c_uncertainty_angstrom,atomic_volume_a3,atomic_volume_uncertainty_a3
DAC3,Al,14.764,0.004,11.3,0.2,4.873,0.001,3.041,0.001,20.843,0.006
DAC3,Al,14.211,0.006,16.2,0.3,4.820,0.001,3.010,0.001,20.184,0.006
DAC3,Al,14.023,0.005,18.1,0.3,4.799,0.001,2.998,0.001,19.929,0.007
DAC3,Al,13.800,0.006,20.5,0.3,4.773,0.001,2.983,0.001,19.617,0.007
DAC3,Al,13.625,0.011,22.6,0.4,4.755,0.001,2.971,0.001,19.390,0.011
DAC3,Al,13.394,0.009,25.4,0.4,4.728,0.001,2.955,0.001,19.068,0.007
DAC3,Al,13.186,0.007,28.2,0.5,4.704,0.001,2.940,0.001,18.777,0.007
DAC3,Al,12.873,0.008,32.8,0.6,4.667,0.001,2.913,0.001,18.316,0.008
DAC3,Al,16.61,0.01,-0.04,0.02,5.044,0.003,3.137,0.001,23.05,0.03
DAC4,Al,14.760,0.008,11.3,0.2,4.876,0.001,3.040,0.001,20.864,0.009
DAC4,Al,14.224,0.006,16.1,0.3,4.819,0.001,3.004,0.001,20.141,0.007
DAC4,Al,13.487,0.007,24.2,0.4,4.744,0.001,2.959,0.001,19.223,0.007
DAC4,Al,13.198,0.007,28.0,0.5,4.705,0.001,2.938,0.001,18.781,0.008
DAC4,Al,12.887,0.005,32.5,0.5,4.668,0.001,2.916,0.001,18.342,0.009
DAC5,Al,14.775,0.005,11.2,0.2,4.877,0.001,3.041,0.001,20.882,0.011
DAC5,Al,14.728,0.005,11.6,0.2,4.873,0.001,3.038,0.001,20.831,0.008
DAC5,Al,14.683,0.004,11.9,0.2,4.869,0.001,3.036,0.001,20.779,0.006
DAC5,Al,14.636,0.007,12.3,0.2,4.866,0.001,3.033,0.001,20.734,0.009
DAC5,Al,14.586,0.004,12.8,0.2,4.862,0.001,3.031,0.001,20.680,0.006
DAC5,Al,14.530,0.004,13.3,0.2,4.858,0.001,3.028,0.001,20.623,0.006
DAC5,Al,14.474,0.004,13.8,0.2,4.853,0.001,3.025,0.001,20.563,0.007
DAC5,Al,14.418,0.004,14.3,0.2,4.849,0.001,3.021,0.001,20.504,0.007
DAC5,Al,14.337,0.004,15.0,0.2,4.842,0.001,3.016,0.001,20.413,0.007
DAC5,Al,14.289,0.005,15.5,0.2,4.837,0.001,3.014,0.001,20.358,0.007
DAC5,Al,14.233,0.005,16.0,0.3,4.833,0.001,3.010,0.001,20.297,0.008
DAC5,Al,14.151,0.004,16.8,0.3,4.825,0.001,3.006,0.001,20.200,0.007
DAC5,Al,14.082,0.005,17.5,0.3,4.819,0.001,3.001,0.001,20.119,0.008
DAC5,Al,14.019,0.005,18.2,0.3,4.811,0.001,2.997,0.001,20.028,0.009
DAC5,Al,13.969,0.006,18.7,0.3,4.806,0.001,2.994,0.001,19.961,0.01
DAC5,Al,13.914,0.004,19.3,0.3,4.799,0.001,2.992,0.001,19.893,0.008
DAC5,Al,13.863,0.012,19.8,0.3,4.790,0.001,2.990,0.001,19.81,0.02
DAC5,Al,13.812,0.013,20.4,0.4,4.781,0.001,2.989,0.001,19.72,0.02
DAC5,Al,13.758,0.004,21.0,0.3,4.775,0.001,2.986,0.001,19.657,0.009
DAC5,Al,13.712,0.003,21.5,0.3,4.768,0.001,2.981,0.001,19.565,0.009
DAC5,Al,13.660,0.003,22.2,0.3,4.763,0.001,2.976,0.001,19.492,0.009
DAC5,Al,13.614,0.003,22.7,0.4,4.760,0.001,2.973,0.002,19.45,0.02
DAC5,Al,13.509,0.003,24.0,0.4,4.750,0.001,2.967,0.002,19.33,0.03
DAC5,Al,13.472,0.005,24.4,0.4,4.747,0.001,2.964,0.001,19.282,0.009
DAC5,Al,13.434,0.005,24.9,0.4,4.743,0.001,2.962,0.001,19.230,0.01
DAC5,Al,13.394,0.005,25.4,0.4,4.738,0.001,2.959,0.001,19.180,0.01
DAC5,Al,13.341,0.004,26.1,0.4,4.731,0.001,2.954,0.001,19.088,0.011
